qstr_Next_Page|다음 페이지
qstr_Legendary_Warrior|전설적인 전사
qstr_Battle_Master|전투의 달인
qstr__won_{reg0}_victorie|(전투에서 {reg0}번 이상 승리하다.)
qstr_Great_General|위대한 장군
qstr_Defender_of_Pendor|펜도르의 방어자
qstr__defeated_{reg0}_her|({reg0}명의 중립영웅을 막아내다.)
qstr_Guardian_of_Pendor|펜도르의 수호자
qstr_Bane_of_Vejovis|베조비스 학살자
qstr__wiped_out_a_Mystmou|(신비산 군대를 몰아내다.)
qstr_Cult_Banisher|사교도 추방자
qstr__wiped_out_a_Snake_C|(사교도 군대를 몰아내다.)
qstr_Scourge_of_Jatu|자투 징벌자
qstr__wiped_out_a_Jatu_ar|(자투 군대를 몰아내다.)
qstr_Purger_of_Heresy|이교도 정벌가
qstr__wiped_out_a_Heretic|(이교도 군대를 몰아내다.)
qstr_Arena_Survivor|아레나의 생존자
qstr__won_in_{reg0}_tourn|(토너먼트에서 {reg0}번 이상 승리하다.)
qstr_Tournament_Champion|토너먼트 챔피언
qstr_{reg63?Hero:Heroine}|펜도르의 {reg63?영웅:여걸}
qstr__gained_{reg0}_renow|({reg0} 만큼의 명성을 얻다.)
qstr_{reg63?Lion:Lioness}|펜도르의 {reg63?사자:암사자}
qstr_Chevalier_of_Pendor|펜도르의 협객
qstr__gained_{reg0}_honor|({reg0} 만큼의 명성을 얻다.)
qstr_Rogue_{reg63?King:Qu|독자적인 {reg63?왕:여왕}
qstr__declared_a_sovereig|(자신만의 국가성립을 선언하다.)
qstr_Great_Persuader|위대한 달변가
qstr__persuaded_{reg0}_lo|({reg0}명의 영주를 자신의 세력에 참여시키다.)
qstr_Master_Builder|건축의 달인
qstr__built_{reg0}_improv|({reg0}개 이상의 건축물을 건축하다.)
qstr_Competent_Aide|유능한 심부름꾼
qstr__completed_{reg0}_qu|({reg0}번 이상의 임무를 완수해내다.)
qstr_Epitome_of_Ineptitud|무능함의 척도
qstr__failed_{reg0}_quest|({reg0}번 이상의 임무에서 실패하다.)
qstr_Slippery_Fellow|미꾸라지 같은 놈
qstr__captured_{reg0}_tim|(적의 손에 {reg0}번 이상 포로가 되다.)
qstr_Caravan_Marauder|상단 습격자
qstr__raided_{reg0}_carav|({reg0}번 이상 상단을 습격하다.)
qstr_Village_Plunderer|마을 파괴자
qstr__raided_{reg0}_villa|({reg0}번 이상 마을을 습격하다.)
qstr_Blatant_Deceiver|뻔한 사기꾼
qstr__cheated_in_battle_|(전투 중 치트사용)
qstr_Order_Grandmaster|기사단 그랜드마스터
qstr__became_a_leader_of_|(기사단의 우두머리가 되다.)
qstr_More.|다음
qstr_Back.|이전
qstr_You_have_been_awarde|당신은 업적을 성취했습니다!
qstr_Continue.|계속
qstr_A_Knighthood_Order_c|기사단 지부가 설립되었다.
qstr_{s11}_of_the_{s12}_h|{s12}의 {s11}은(는) {s13} 기사단을 {s14}에 창설했습니다.
qstr_Pendor_:__Conquered_|펜도르 : {s11}에 의해 정복되었습니다.
qstr_The_{s11}_has_defeat|{s11}는(은) 적들을 멸망시키고 단 하나의 왕국으로 자리 잡았습니다. 마디간의 예언은 이루어졌으며,^^ 새로운 시대가 열렸습니다.
qstr_Pendor_:__Conquered_b|펜도르 : 하나의 왕국에 의해 지배되고 있습니다.
qstr_{s11}_has_defeated_a|{s11}는(은) 적들을 멸망시키고 단 하나의 왕국으로 자리 잡았습니다. 마디간의 예언은 이루어졌으며,^^ 새로운 시대가 열렸습니다.
qstr_Factions|세력
qstr_Show_towns|도시 보기
qstr_Show_castles|성 보기
qstr_Show_villages|마을 보기
qstr_Tip:_move_the_mouse_|팁 : 마우스를 해당 거점 위에 올리면 이름이 표시됩니다.
qstr_The_World_Map|세계 지도
qstr_Done|완료
qstr_P_o_P___O_p_t_i_o_n_|펜도르의 예언 설정
qstr_Scroll_down_for_more|다른 설정을 보기위해 스크롤 내리기
qstr_Battle_options|전장 설정
qstr_Battlefield_size_|전장 크기
qstr_830x830m|830x830m
qstr_550x550m|550x550m
qstr_240x240m|240x240m
qstr_Adaptive|자동조정
qstr_Battle_reinforcement|야전 원군 증원 : 
qstr_Unlimited|무제한
qstr_18|18
qstr_16|16
qstr_14|14
qstr_12|12
qstr_10|10
qstr_8|8
qstr_6|6
qstr_4|4
qstr_2|2
qstr_Siege_reinforcement_|공성전 원군 증원: 
qstr_36|36
qstr_32|32
qstr_28|28
qstr_24|24
qstr_20|20
qstr_Enhanced_horse_arche|강화된 궁기병 AI 
qstr_Disabled|비활성화
qstr_NPCs_only|NPC만
qstr_All_units|모두
qstr_Disable_troop_routin|병사 도주 비활성화 
qstr_Enable_Formations_|진형 활성화 
qstr_Battle_interface|전투 U.I
qstr_Show_personal_kill_c|킬 카운트 보기 
qstr_Battle_ratio_bar_|전세 실황 표시기 
qstr_shows_proportion_of_|각 진영의 생존 병사 비율 보기
qstr_Ratio_bar_shows_rese|표시기에 예비 전력도 포함 
qstr_reports_global_battl|증원군을 포함한 전역 전세 표시
qstr_Display_a_message_on|동맹군의 사망 알림 표시 
qstr_best_with__report_ca|메인 설정 '사상자 보고' 해제시
qstr_Display_a_message_on_|플레이어의 처치 알림 표시 
qstr_Miscellaneous|기타
qstr_Fade_from_black_|화면전환 시 페이드 효과 
qstr_when_entering_a_room|건물 입장시
qstr_Lords_don_t_bring_fi|영주 합류시 해당 영지 미포함 
qstr_No_auto_defections_|영주의 자동 망명 방지 
qstr_Village_requests_in_|마을에서 요구사항이 있을시 나타나는 알림만 표시 
qstr_Village_attacks_in_n|마을이 공격받을시 나타나는 알림만 표시 
qstr_Important_news_only_|중요한 소식만 
qstr_Play_companion_dialo|동료의 일상대화 보기 
qstr_Reinforcement_waves_|야전시 지원군이 {reg0} 번 증원
qstr_Reinforcement_waves_f|공성전시 지원군이 {reg0} 번 증원
qstr_Others|Others
qstr_KOs_Knights|기사단의 기사들
qstr_KOs_Sergeants|기사단의 준기사들
qstr_Mercenaries|용병들
qstr_Adventurers|모험가들
qstr_Kingdom_of_Pendor|펜도르 왕국
qstr_Close|닫기
qstr_Click_the_avatars_to|세부 사항을 보려면 아바타를 클릭하세요
qstr_Level:_{reg3}^Health|레벨: {reg3}^체력: {reg4}
qstr_Attributes|능력치
qstr_STR^AGI^INT^CHA|힘^민첩^지능^매력
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|기술
qstr_Ironflesh^Power_Stri|단단한 피부^때리는 힘^던지는 힘^당기는 힘^방패술^운동 능력^승마술^기마 궁술
qstr_Proficiencies|숙련도
qstr_1H_Weapons^2H_Weapon|한손 무기^양손 무기^폴암^활^쇠뇌^투척 무기^화기
qstr_Equipment|장비
qstr_0_kills|0 처치
qstr_{reg3}_kill|{reg3} 처치
qstr_{reg3}_kills|{reg3} 처치
qstr_{s1}_of_the_{s3}_was|{s3}의 {s1}은(는) 전투에서 패배했지만 탈출에 성공했습니다.
qstr_The_{s2}_have_sacked|{s1}이 {s2}에게 약탈당했습니다.
qstr_{s54}_is_a_claimant_|{s54}이(가) {s56}의 왕권에 이의를 제기했습니다 .
qstr_no_holdings|가지고 있지 않다
qstr_{s57}_and_{s58}|{s57} 그리고 {s58}
qstr_{reg3?She:He}|{reg3?그녀:그}
qstr_The_town_of_{s50}|{s50} 도시
qstr_The_village_of_{s50}|{s50}은 {s52}의 인근에 위치해 있습니다.^^
qstr_{s51}_belongs_to_{s1|{s51} {s2}의 {s1}이(가) 통치하고 있습니다.^^
qstr_{s2}There_is_a_chapt|{s2}{s1} 지부가 있습니다.^^
qstr_{s2}Garrison_trainin|{s2}주둔군 훈련이 활성화됨.^^
qstr_{s2}Garrison_training|{s2}주둔군 훈련이 비활성화됨.^^
qstr_{s7}_and_{s8}|{s7} 그리고 {s8}
qstr_{s2}It_has_no_villag|{s2}산하 마을이 없습니다.^^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?산하 마을들은:산하 마을은} {s8}입니다.^^
qstr_{s2}Its_prosperity_i|{s2}재정 상태 : {s50}
qstr_noone|없음
qstr_{s9}_and_{s10}|{s9} 그리고 {s10}
qstr_{s5}_has_been_defeat|{s5}은(는) 전투에서 패배했습니다.
qstr_{s7}_opened_the_gate|{s7} 성문이 열렸습니다
qstr_{s7}_closed_the_gate|{s7} 성문이 닫혔습니다
qstr_+{reg1}_to_party_mor|부대 사기 +{reg1}
qstr_Requires_{reg1}_inte|책을 읽는데 {reg1}의 지능이 필요합니다.
qstr_Reading_Progress:_{r|읽기 진척율 : {reg1}%
qstr_Improves_Noldor_rela|놀도르와 관계 향상
qstr_wound_treament|상처 치료
qstr_trainer|훈련 교관
qstr_surgery|수술
qstr_+2_to_{s1}_while_in_|소지 했을 때 {s1} +2 효과
qstr_+1_to_{s1}_while_in_|소지 했을 때 {s1} +1 효과
qstr__interesting_to_Orde|(기사단이 흥미로워합니다)
qstr_Upgrade_cost:_{reg0}|강화 비용: {reg0}
qstr_Time_to_upgrade:_{re|강화 시간: {reg1} 일
qstr_Move_here|이곳으로 이동
qstr_View_notes|보고서 보기
qstr_Unstick_from_River|강으로부터 떼어내다
qstr_Accompany|동행
qstr_Party_strength:_{reg|부대 사기: {reg0}
qstr_killed|사망
qstr_wounded|부상
qstr_{s0}^TOTAL:_{reg3}__|{s0}^총 : {reg3}명 ({s2})
qstr_^None|^없음
qstr_nothing|없음
qstr_{reg0}_village{reg1?|{reg0} 마을{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} 성{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} 성{reg1?s:}, {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} 도시{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} 도시{reg1?s:}, {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} 도시{reg1?s:}, {s0}
qstr_Your_opponents_are_r|당신의 상대가 전투준비를 완료했습니다.
qstr_Try_to_destroy_as_ma|2분 30초 동안 가능한 많은 적을 물리치십시오.
qstr_Stay_behind_the_line|선 뒤에서 목표를 노리세요. 한발 한발을 함부로 낭비해서는 안 됩니다.
qstr_Battle_Advantage_=_{|전술적 우위 = {reg0}.
qstr_{s9}_wants_you_to_re|{s9}은(는) 다음 지시가 있을 때까지 다시 그의 군대를 따라오라고 했습니다.
qstr_{s0}_fails_to_bring_|당신 왕국의 어떤 자리에도 {s0}을(를) 데리고 오지 못했습니다!
qstr_{s4}_is_awarded_to_{|{s4}은(는) {s6}의 {s5}에게 주어집니다.
qstr_From_now_{s4}_belong|지금부터 {s4}은(는) {s6}의 {s5}에게 주어집니다.
qstr__Word_reaches_you_th|세계 소식 : 메어간 키어릭은 울릭 왕의 깃발 아래 그리폰의검 모험단을 이끌게 되었습니다!
qstr__Word_reaches_you_tha|세계 소식 : 강철검 코단은 귀족들과 기사들을 모아 울릭 왕에게 합류했습니다!
qstr__Word_reaches_you_that|세계 소식 : 살레온의 울릭 왕이 자유 용병단를 고용했습니다!
qstr__Word_reaches_you_that_|세계 소식 : 살레온의 울릭 왕이 메텐하임 용병단를 고용했습니다!
qstr__Word_reaches_you_Sy|세계 소식 : 명성이 자자한 제국의 불멸자 실라 우자스는 베테랑 군단병들로 이루어진 군대를 조직해서 울릭 왕에게 합류했습니다!
qstr__Word_reaches_you_that_K|세계 소식 : 살레온의 울릭 왕이 베카비안 용병단를 고용했습니다!
qstr__Word_reaches_you_that_Ki|세계 소식 : 살레온의 울릭 왕이 메텐하임의 자유형제단을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Kin|세계 소식 : 살레온의 울릭 왕이 베카비아 변절자들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King|세계 소식 : 살레온의 울릭 왕이 바클레이 제1 근위대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_|세계 소식 : 살레온의 울릭 왕이 사르노의 멜리틴 원정대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_U|세계 소식 : 살레온의 울릭 왕이 말레온 제1 기병대를 이끌고 출진합니다.
qstr__Word_reaches_you_that_King_Ul|세계 소식 : 살레온의 울릭 왕이 눈사자 여단을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Ulr|세계 소식 : 살레온의 울릭 왕이 유니콘 기사들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Ulri|세계 소식 : 살레온의 울릭 왕이 용병단을 고용했습니다.
qstr__Word_reaches_you_that_O|세계 소식 : 오스왈드 드 플뢰르는 그의 모든 탐험대를 이끌고 그레고리 4세에게 합류했습니다!
qstr__Word_reaches_you_that_B|세계 소식 : 큰까마귀 보리스는 큰까마귀 창의 기사들을 이끌고 그레고리 4세에게 합류했습니다!
qstr__Word_reaches_you_that_Ko|세계 소식 : 강철검 코단은 귀족들과 기사들을 모아 그레고리 4세에게 합류했습니다!
qstr__Word_reaches_you_that_King_G|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 자유 용병단을 고용했습니다.
qstr__Word_reaches_you_that_King_Gr|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 여러 반스케리 야를들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Gre|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 메텐하임의 자유형제단을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Greg|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 베카비아 변절자들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Grego|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 바클레이 제1 근위대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Gregor|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 사르노의 멜리틴 원정대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Gregory|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 유니콘 기사들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_King_Gregory_|세계 소식 : 레이븐스턴의 왕 그레고리 4세가 용병단을 고용했습니다.
qstr__Word_reaches_you_that_Bu|세계 소식 : 찬탈자 부릴기는 군대를 조직하여 카단 바하둘 칸을 위한 싸움을 시작합니다!
qstr__Word_reaches_you_that_S|세계 소식 : 셰이크 샬라반은 사막 전사들을 통합하여 카단 바하둘 칸의 깃발 아래 싸움을 시작합니다!
qstr__Word_reaches_you_that_Ka|세계 소식 : 카단 바하둘 칸이 자유 용병단를 고용했습니다!
qstr__Word_reaches_you_that_Kad|세계 소식 : 카단 바하둘 칸이 메텐하임 용병단를 고용했습니다!
qstr__Word_reaches_you_Syl|세계 소식 : 명성이 자자한 제국의 불멸자 실라 우자스는 베테랑 군단병들로 이루어진 군대를 조직해서 카단 바하둘 칸에게 합류했습니다!
qstr__Word_reaches_you_that_Kada|세계 소식 : 카단 바하둘 칸이 몇몇 반스케리 족장을 용병단으로 고용했습니다
qstr__Word_reaches_you_that_Kadan|세계 소식 : 카단 바하둘 칸이 자투 장군들을 용병단으로 고용했습니다!
qstr__Word_reaches_you_that_Kadan_|세계 소식 : 카단 바하둘 칸이 메텐하임의 자유형제단을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Kadan_B|세계 소식 : 카단 바하둘 칸이 베카비아 변절자들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Kadan_Ba|세계 소식 : 카단 바하둘 칸이 바클레이 제1 근위대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Kadan_Bah|세계 소식 : 카단 바하둘 칸이 사르노의 멜리틴 원정대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Kadan_Baha|세계 소식 : 카단 바하둘 칸이 싱갈리아 노예 상인단을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Kadan_Bahad|세계 소식 : 카단 바하둘 칸이 인다르의 점지자들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Kadan_Bahadu|세계 소식 : 카단 바하둘 칸이 싱갈족 용병단을 고용했습니다.
qstr__Word_reaches_you_that_Bur|세계 소식 : 찬탈자 부릴기는 군대를 조직하여 코닝거 발디스를 위해 싸움을 시작합니다!
qstr__Word_reaches_you_that_M|세계 소식 : 메어간 키어릭은 코닝거 발디스의 깃발 아래 그리폰검 모험단을 이끌게 되었습니다!
qstr__Word_reaches_you_that_Kon|세계 소식 : 코닌굴 발디스가 메텐하임 용병단을 고용했습니다!
qstr__Word_reaches_you_that_Koni|세계 소식 : 코닌굴 발디스가 자유 용병단을 고용했습니다!
qstr__Word_reaches_you_that_Konin|세계 소식 : 코닌굴 발디스가 베카비아 용병단을 고용했습니다!
qstr__Word_reaches_you_that_Koning|세계 소식 : 코닌굴 발디스가 자투 장군들을 용병단으로 고용했습니다!
qstr__Word_reaches_you_that_Koningu|세계 소식 : 코닌굴 발디스가 바클레이 정복자들을 용병단으로 고용했습니다!
qstr__Word_reaches_you_that_Koningur|세계 소식 : 코닌굴 발디스가 메텐하임의 자유형제단을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Koningur_|세계 소식 : 코닌굴 발디스가 베카비아 변절자들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Koningur_V|세계 소식 : 코닌굴 발디스가 바클레이 제1 근위대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Koningur_Va|세계 소식 : 코닌굴 발디스가 사르노의 멜리틴 원정대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Koningur_Val|세계 소식 : 코닌굴 발디스가 인다르의 점지자들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Koningur_Vald|세계 소식 : 코닌굴 발디스가 몇몇 반스케리 족장을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Os|세계 소식 : 오스왈드 드 플뢰르는 그의 모든 탐험대를 이끌고 마리우스 황제에게 합류했습니다!
qstr__Word_reaches_you_that_Bo|세계 소식 : 큰까마귀 보리스는 큰까마귀 창의 기사들을 이끌고 마리우스 황제에게 합류했습니다!
qstr_Word_reaches_you_tha|세계 소식 : 마리우스 황제가 바클레이 정복자들을 용병단으로 고용했습니다!
qstr__Word_reaches_you_that_Kod|세계 소식 : 강철검 코단은 귀족들과 기사들을 모아 마리우스 황제에게 합류했습니다!
qstr__Word_reaches_you_that_Ma|세계 소식 : 마리우스 황제가 자유 용병단을 고용했습니다!
qstr__Word_reaches_you_that_Sh|세계 소식 : 셰이크 샬라반은 사막 전사들을 통합하여 마리우스 황제의 깃발 아래 싸움을 시작합니다!
qstr_Word_reaches_you_that|세계 소식 : 마리우스 황제가 자투 장군들을 용병단으로 고용했습니다!
qstr__Word_reaches_you_that_Mar|세계 소식 : 마리우스 황제가 메텐하임의 자유형제단을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Mari|세계 소식 : 마리우스 황제가 베카비아 변절자들을 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Mariu|세계 소식 : 마리우스 황제가 바클레이 제1 근위대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Marius|세계 소식 : 마리우스 황제가 사르노의 멜리틴 원정대를 용병단으로 고용했습니다.
qstr__Word_reaches_you_that_Marius_|세계 소식 : 마리우스 황제가 인다르의 점지자들을 용병단으로 고용했습니다.
qstr_Word_reaches_you_that_|세계 소식 : 마리우스 황제가 용병단을 고용했습니다.
qstr_{s1}_Merchant_Carava|{s1} 상행단
qstr__Being_Raided_|(피습 중)
qstr__Looted_|(약탈당함)
qstr__Under_Siege_|(포위당함)
qstr_The_village_of_{s1}_|{s1}이 {s2}에게 약탈당했습니다.
qstr_{s3}_is_no_longer_un|{s3}을(를) 포위하던 군대가 물러났습니다.
qstr_Small_bands_of_enemi|{s1} 부근에서 적 순찰대가 감지되었습니다.
qstr_Enemy_patrols_spotte|{s1} 부근에서 소규모 적 부대가 감지되었습니다.
qstr_Medium_sized_group_o|{s1} 부근에서 중규모 적 부대가 감지되었습니다.
qstr_Significant_group_of|{s1} 부근에서 대규모 적 부대가 감지되었습니다.
qstr_Army_of_enemies_spot|{s1} 부근에서 소규모 적 군단이 감지되었습니다.
qstr_Large_army_of_enemie|{s1} 부근에서 중규모 적 군단이 감지되었습니다.
qstr_Great_host_of_enemie|{s1} 부근에서 대규모 적 군단이 감지되었습니다.
qstr_{s1}_has_been_besieg|{s1}은(는) {s3}의 {s2}에게 포위되었습니다.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11} : {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1}은(는) {s2}의 새로운 총사령관이 되었습니다.
qstr_You_gained_{reg12}_r|{reg12}의 명성을 얻었습니다.
qstr_You_lose_{reg12}_ren|{reg12}의 명성을 잃었습니다.
qstr_Your_relation_with_{|{s1}의 관계가 향상 되었습니다.
qstr_Your_relation_with_{s|{s1}의 관계가 악화 되었습니다.
qstr_You_have_broken_the_|You have broken the mercenary contract.
qstr_You_gain_honor.|명예를 얻었습니다.
qstr_You_lose_honor.|명예를 잃었습니다.
qstr_The_{s1}_declared_wa|{s1}이(가) {s2}에게 선전포고 했습니다!
qstr_The_{s1}_and_the_{s2|{s1}와(과) {s2}은(는) 평화조약을 맺었습니다.
qstr_{s2}_{reg3?was:is_cu|{s2}은(는) {s3}에 {reg3?있었습니다:있습니다}.
qstr_{s2}_{reg3?was:is}_t|{s2}은(는) {s3} 방면으로 {reg3?향하고 있었고:향하고 있고}, {reg4?그녀는:그는} {s4} 근방에 {reg3?있었습니다.:있을 겁니다}{reg3?:, 바로 지금.}
qstr_{s2}_{reg3?was:is}_i|{s2}은(는) 야외에 {reg3?있었고:있고}, {reg4?그녀는:그는} {s3} 근방에 {reg3?있었습니다.:있을 겁니다}{reg3?:, 바로 지금.}
qstr_{s2}_{reg3?was:is}_b|{s2}은(는) {s3}에 포로로 억류돼 {reg3?있었습니다:있습니다}.
qstr_{s2}_{reg3?was:has_b|{s2}은(는) {reg4?그녀의:그의} 적에게 붙잡혀 {reg3?있었습니다:있습니다}.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}의 위치를 알 수 없습니다:나는 {s2}가 어디에 있는지 모릅니다}.
qstr_{s6}_has_joined_your|부대에 합류 : {s6}
qstr_You_now_owe_{reg2}_d|당신은 {s1}에게 {reg2}디나르를 빚지고 있다.
qstr_Renown_value_for_thi|이 전투에서 얻게 될 명성은 {reg8}입니다.
qstr_You_have_run_into_a_|함정에 빠졌습니다.
qstr_You_are_attacked_by_|도적 무리에게 공격당했습니다!
qstr_Holding|위치고수
qstr_Following|나를 따르라
qstr_Charging|돌격
qstr_Advancing|전진
qstr_Falling_Back|후퇴
qstr_Standing_Closer|밀집
qstr_Spreading_Out|산개
qstr_Standing|정지
qstr_N/A|N/A
qstr_Free|자유
qstr_Any_Weapon|모든 무기
qstr_Blunt_Weapons|둔기
qstr_{s1}_Farmers|{s1} 농부들
qstr_{s1}_Rebels|{s1} 반란군
qstr_Given_by:_{s62}|지 시 자 : {s62}
qstr_Given_on:_{s60}|일    자 : {s60}
qstr_You_have_{reg0}_days|{reg0}일 이내에 임무를 완료해야 합니다.
qstr_This_quest_has_been_|이 임무는 종료되었습니다. 임무 완료를 위해 {s59}에게 돌아가십시오.
qstr_This_quest_has_been_s|이 임무를 성공적으로 완료했습니다. 사례금을 받기 위해 {s59}에게 돌아가십시오.
qstr_This_quest_has_faile|이 임무는 실패로 끝났습니다. 상황 설명을 위해 {s59}에게 돌아가십시오.
qstr_At_the_time_quest_wa|퀘스트를 부여 받았습니다.:^{s1}
qstr_{s5}_has_a_strength_|{s5}은(는) 총 {reg1}명 분의 힘을 지녔다.
