qstr_Next_Page|Next Page
qstr_best_with__report_ca|best with 'report casualties' ticked off
qstr_Display_a_message_on_|Display a message on player kill 
qstr_Custom_Knighthood_Or|Custom Knighthood Order
qstr_Chance_of_stats_upgr|Chance of stats upgrade during 18hr training session 
qstr_1.5%|1.5%
qstr_2%|2%
qstr_3%__Default_|3% (Default)
qstr_4%|4%
qstr_5.5%|5.5%
qstr_7.5%|7.5%
qstr_10%|10%
qstr_13%|13%
qstr_17%|17%
qstr_25%|25%
qstr_50%|50%
qstr_Equipment_cost_|Equipment cost 
qstr_200%|200%
qstr_150%|150%
qstr_120%|120%
qstr_110%|110%
qstr_100%__Default_|100% (Default)
qstr__90%| 90%
qstr__80%| 80%
qstr__60%| 60%
qstr__40%| 40%
qstr__20%| 20%
qstr__10%| 10%
qstr_Equipping_time_|Equipping time 
qstr_Miscellaneous|Miscellaneous
qstr_Fade_from_black_|Fade from black 
qstr_when_entering_a_room|when entering a room
qstr_Lords_don_t_bring_fi|Lords don't bring fiefs when joining player 
qstr_No_auto_defections_|No auto-defections 
qstr_Village_requests_in_|Village requests in notifications only 
qstr_Village_attacks_in_n|Village attacks in notifications only 
qstr_Important_news_only_|Important news only 
qstr_Play_companion_dialo|Play companion dialogs 
qstr_Reinforcement_waves_|Reinforcement waves for normal battles have been set to {reg0}
qstr_Reinforcement_waves_f|Reinforcement waves for siege battles have been set to {reg0}
qstr_Others|Others
qstr_KOs_Knights|KOs Knights
qstr_KOs_Sergeants|KOs Sergeants
qstr_Mercenaries|Mercenaries
qstr_Adventurers|Adventurers
qstr_Kingdom_of_Pendor|Kingdom of Pendor
qstr_Close|Close
qstr_Click_the_avatars_to|Click the avatars to view details of them
qstr_Level:_{reg3}^Health|Level: {reg3}^Health: {reg4}
qstr_Attributes|Attributes
qstr_STR^AGI^INT^CHA|STR^AGI^INT^CHA
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|Skills
qstr_Ironflesh^Power_Stri|Ironflesh^Power Strike^Power Throw^Power Draw^Shield^Athletics^Riding^Horse Archery
qstr_Proficiencies|Proficiencies
qstr_1H_Weapons^2H_Weapon|1H Weapons^2H Weapons^Polearms^Archery^Crossbows^Throwing^Firearms
qstr_Equipment|Equipment
qstr_0_kills|0 kills
qstr_{reg3}_kill|{reg3} kill
qstr_{reg3}_kills|{reg3} kills
qstr_{s1}_of_the_{s3}_was|{s1} of the {s3} was defeated in battle but managed to escape.
qstr_The_{s2}_have_sacked|The {s2} have sacked {s1}.
qstr_{s54}_is_a_claimant_|{s54} is a claimant to the throne of {s56}.
qstr_no_holdings|no holdings
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_The_town_of_{s50}|The town of {s50}
qstr_The_village_of_{s50}|The village of {s50} near {s52}
qstr_{s51}_belongs_to_{s1|{s51} belongs to {s1} of {s2}.^
qstr_{s2}There_is_a_chapt|{s2}There is a chapterhouse of the {s1} here.^
qstr_{s2}Garrison_trainin|{s2}Garrison training is enabled.^
qstr_{s2}Garrison_training|{s2}Garrison training is disabled.^
qstr_{s7}_and_{s8}|{s7} and {s8}
qstr_{s2}It_has_no_villag|{s2}It has no villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Its villages are:Its village is} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Its prosperity is: {s50}
qstr_noone|noone
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s5}_has_been_defeat|{s5} has been defeated!
qstr_{s7}_opened_the_gate|{s7} opened the gate
qstr_{s7}_closed_the_gate|{s7} closed the gate
qstr_+{reg1}_to_party_mor|+{reg1} to party morale
qstr_Requires_{reg1}_inte|Requires {reg1} intelligence to read
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%
qstr_Improves_Noldor_rela|Improves Noldor relations
qstr_Quest_item|Quest item
qstr_wound_treatment|wound treatment
qstr_trainer|trainer
qstr_surgery|surgery
qstr_+2_to_{s1}_while_in_|+2 to {s1} while in inventory
qstr_+1_to_{s1}_while_in_|+1 to {s1} while in inventory
qstr__interesting_to_Orde|(interesting to Orders)
qstr_Missile_speed:_{reg3|Missile speed: {reg33}
qstr_Upgrade_cost:_{reg0}|Upgrade cost: {reg0}
qstr_Time_to_upgrade:_{re|Time to upgrade: {reg1} days
qstr_Move_here|Move here
qstr_View_notes|View notes
qstr_Unstick_from_River|Unstick from River
qstr_Accompany|Accompany
qstr_Party_strength:_{reg|Party strength: {reg0}
qstr_Party_no:_{reg0}|Party no: {reg0}
qstr_killed|killed
qstr_wounded|wounded
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^None
qstr_nothing|nothing
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castle{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castle{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Your opponents are ready for the fight.
qstr_Try_to_destroy_as_ma|Try to destroy as many targets as you can. You have two and a half minutes to clear the track.
qstr_Stay_behind_the_line|Stay behind the line on the ground and shoot the targets. Try not to waste any shots.
qstr_Battle_Advantage_=_{|Battle Advantage = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
qstr_{s0}_fails_to_bring_|{s0} fails to bring over any centers to your faction!
qstr_{s4}_is_awarded_to_{|{s4} is awarded to {s5} of the {s6}.
qstr_From_now_{s4}_belong|From now {s4} belongs to {s5} of the {s6}.
qstr__Word_reaches_you_th| Word reaches you that Meregan Kierlic has brought together the Griffonsword Adventuring Company under the banner of King Ulric!
qstr__Word_reaches_you_tha| Word reaches you that Kodan Ironsword has gathered nobles and knights and has joined King Ulric!
qstr__Word_reaches_you_that| Word reaches you that King Ulric of Sarleon has employed the Free Company!
qstr__Word_reaches_you_that_| Word reaches you that King Ulric of Sarleon has employed a Mettenheim Mercenary Company!
qstr__Word_reaches_you_Sy| Word reaches you Syla Uzas, a renowned Immortal warrior of the Empire, has gathered together a small army of veteran Legionnaires and has joined King Ulric!
qstr__Word_reaches_you_that_K| Word reaches you that King Ulric of Sarleon has employed a Veccavi Mercenary Company!
qstr__Word_reaches_you_that_Ki| Word reaches you that King Ulric of Sarleon has employed the Freybrueder!
qstr__Word_reaches_you_that_Kin| Word reaches you that King Ulric of Sarleon has employed the Veccavi Renegades!
qstr__Word_reaches_you_that_King| Word reaches you that King Ulric of Sarleon has employed the Primera Guardia Real!
qstr__Word_reaches_you_that_King_| Word reaches you that King Ulric of Sarleon has employed the Sarno Expedition!
qstr__Word_reaches_you_that_King_U| Word reaches you that King Ulric of Sarleon has employed the 1st Banneret of Marleons!
qstr__Word_reaches_you_that_King_Ul| Word reaches you that King Ulric of Sarleon has employed the Snowlion Brigade!
qstr__Word_reaches_you_that_King_Ulr| Word reaches you that King Ulric of Sarleon has employed a Unicorn Knight company!
qstr__Word_reaches_you_that_King_Ulri| Word reaches you that King Ulric of Sarleon has employed a Mercenary Company!
qstr__Word_reaches_you_that_O| Word reaches you that Oswald de Fleur has assembled all of his Adventuring Companies and has joined King Gregory IV!
qstr__Word_reaches_you_that_B| Word reaches you that Boris the Raven has gathered a company of Raven Spear Knights and has joined King Gregory IV!
qstr__Word_reaches_you_that_Ko| Word reaches you that Kodan Ironsword has gathered nobles and knights and has joined King Gregory IV!
qstr__Word_reaches_you_that_King_G| Word reaches you that King Gregory IV of Ravenstern has employed the Free Company!
qstr__Word_reaches_you_that_King_Gr| Word reaches you that King Gregory IV of Ravenstern has employed several Vanskerry Jarls as a Mercenary Company!
qstr__Word_reaches_you_that_King_Gre| Word reaches you that King Gregory IV of Ravenstern has employed the Freybrueder!
qstr__Word_reaches_you_that_King_Greg| Word reaches you that King Gregory IV of Ravenstern has employed the Veccavi Renegades!
qstr__Word_reaches_you_that_King_Grego| Word reaches you that King Gregory IV of Ravenstern has employed the Primera Guardia Real!
qstr__Word_reaches_you_that_King_Gregor| Word reaches you that King Gregory IV of Ravenstern has employed the Sarno Expedition!
qstr__Word_reaches_you_that_King_Gregory| Word reaches you that King Gregory IV of Ravenstern has employed a Unicorn Knight company!
qstr__Word_reaches_you_that_King_Gregory_| Word reaches you that King Gregory IV of Ravenstern has employed a Mercenary Company!
qstr__Word_reaches_you_that_Bu| Word reaches you that Burilgi the Usurper has gathered an army and now fights for Kadan Bahadur Khan!
qstr__Word_reaches_you_that_Ka| Word reaches you that Kadan Bahadur Khan has employed the Free Company!
qstr__Word_reaches_you_that_Kad| Word reaches you that Kadan Bahadur Khan has employed a Mettenheim Mercenary Company!
qstr__Word_reaches_you_Syl| Word reaches you Syla Uzas, a renowned Immortal warrior of the Empire, has gathered together a small army of veteran Legionnaires and has joined Kadan Bahadur Khan!
qstr__Word_reaches_you_that_Kada| Word reaches you that Kadan Bahadur Khan has employed several Vanskerry Jarls as a Mercenary Company!
qstr__Word_reaches_you_that_Kadan| Word reaches you that Kadan Bahadur Khan has employed Jatu Warlords as a Mercenary Company!
qstr__Word_reaches_you_that_Kadan_| Word reaches you that Kadan Bahadur Khan has employed the Freybrueder!
qstr__Word_reaches_you_that_Kadan_B| Word reaches you that Kadan Bahadur Khan has employed the Veccavi Renegades!
qstr__Word_reaches_you_that_Kadan_Ba| Word reaches you that Kadan Bahadur Khan has employed the Primera Guardia Real!
qstr__Word_reaches_you_that_Kadan_Bah| Word reaches you that Kadan Bahadur Khan has employed the Sarno Expedition!
qstr__Word_reaches_you_that_Kadan_Baha| Word reaches you that Kadan Bahadur Khan has employed a Singalian Slaver company!
qstr__Word_reaches_you_that_Kadan_Bahad| Word reaches you that Kadan Bahadur Khan has employed the Chosen of Indar!
qstr__Word_reaches_you_that_Kadan_Bahadu| Word reaches you that Kadan Bahadur Khan has employed a Singalian Mercenary Company!
qstr__Word_reaches_you_that_Bur| Word reaches you that Burilgi the Usurper has gathered an army and now fights for Koningur Valdis!
qstr__Word_reaches_you_that_M| Word reaches you that Meregan Kierlic has brought together the Griffonsword Adventuring Company under the banner of Koningur Valdis!
qstr__Word_reaches_you_that_Kon| Word reaches you that Koningur Valdis has employed a Mettenheim Mercenary Company!
qstr__Word_reaches_you_that_Koni| Word reaches you that Koningur Valdis has employed the Free Company!
qstr__Word_reaches_you_that_Konin| Word reaches you that Koningur Valdis has employed a Veccavi Mercenary Company!
qstr__Word_reaches_you_that_Koning| Word reaches you that Koningur Valdis has employed Jatu Warlords as a Mercenary Company!
qstr__Word_reaches_you_that_Koningu| Word reaches you that Koningur Valdis has employed a company of Barclay Conquistadores
qstr__Word_reaches_you_that_Koningur| Word reaches you that Koningur Valdis has employed the Freybrueder!
qstr__Word_reaches_you_that_Koningur_| Word reaches you that Koningur Valdis has employed the Veccavi Renegades!
qstr__Word_reaches_you_that_Koningur_V| Word reaches you that Koningur Valdis has employed the Primera Guardia Real!
qstr__Word_reaches_you_that_Koningur_Va| Word reaches you that Koningur Valdis has employed the Sarno Expedition!
qstr__Word_reaches_you_that_Koningur_Val| Word reaches you that Koningur Valdis has employed the Chosen of Indar!
qstr__Word_reaches_you_that_Koningur_Vald| Word reaches you that Koningur Valdis has employed several Vanskerry Jarls as a Mercenary Company!
qstr__Word_reaches_you_that_Os| Word reaches you that Oswald de Fleur has assembled all of his Adventuring Companies and has joined Marius Imperator!
qstr__Word_reaches_you_that_Bo| Word reaches you that Boris the Raven has gathered a company of Raven Spear Knights and has joined Marius Imperator!
qstr_Word_reaches_you_tha|Word reaches you that Marius Imperator has employed Barclay Conquistadores as a Mercenary Company!
qstr__Word_reaches_you_that_Kod| Word reaches you that Kodan Ironsword has gathered nobles and knights and have joined Marius Imperator!
qstr__Word_reaches_you_that_Ma| Word reaches you that Marius Imperator has employed the Free Company!
qstr__Word_reaches_you_that_S| Word reaches you that Sheik Shalavan has united the Desert warriors and now fights under the banner of Marius Imperator!
qstr_Word_reaches_you_that|Word reaches you that Marius Imperator has employed Jatu Warlords as a Mercenary Company!
qstr__Word_reaches_you_that_Mar| Word reaches you that Marius Imperator has employed the Freybrueder!
qstr__Word_reaches_you_that_Mari| Word reaches you that Marius Imperator has employed the Veccavi Renegades!
qstr__Word_reaches_you_that_Mariu| Word reaches you that Marius Imperator has employed the Primera Guardia Real!
qstr__Word_reaches_you_that_Marius| Word reaches you that Marius Imperator has employed the Sarno Expedition!
qstr__Word_reaches_you_that_Marius_| Word reaches you that Marius Imperator has employed the Chosen of Indar!
qstr_Word_reaches_you_that_|Word reaches you that Marius Imperator has employed a Mercenary Company!
qstr_{s1}_Merchant_Carava|{s1} Merchant Caravan
qstr__Being_Raided_|(Being Raided)
qstr__Looted_|(Looted)
qstr__Under_Siege_|(Under Siege)
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.
qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.
qstr_Small_bands_of_enemi|Small bands of enemies spotted near {s1}.
qstr_Enemy_patrols_spotte|Enemy patrols spotted near {s1}.
qstr_Medium_sized_group_o|Medium-sized group of enemies spotted near {s1}.
qstr_Significant_group_of|Significant group of enemies spotted near {s1}.
qstr_Army_of_enemies_spot|Army of enemies spotted near {s1}.
qstr_Large_army_of_enemie|Large army of enemies spotted near {s1}.
qstr_Great_host_of_enemie|Great host of enemies spotted near {s1}.
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of the {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} is the new marshal of the {s2}.
qstr_You_gained_{reg12}_r|You gained {reg12} renown.
qstr_You_lose_{reg12}_ren|You lose {reg12} renown.
qstr_Your_relation_with_{|Your relation with {s1} has improved.
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
qstr_You_have_broken_the_|You have broken the mercenary contract.
qstr_You_gain_honor.|You gain honor.
qstr_You_lose_honor.|You lose honor.
qstr_The_{s1}_declared_wa|The {s1} declared war against the {s2}.
qstr_The_{s1}_and_the_{s2|The {s1} and the {s2} have made peace with each other.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_{s6}_has_joined_your|{s6} has joined your party.
qstr_You_now_owe_{reg2}_d|You now owe {reg2} denars to {s1}.
qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
qstr_Advancing|Advancing
qstr_Falling_Back|Falling Back
qstr_Standing_Closer|Standing Closer
qstr_Spreading_Out|Spreading Out
qstr_Standing|Standing
qstr_N/A|N/A
qstr_Free|Free
qstr_Any_Weapon|Any Weapon
qstr_Blunt_Weapons|Blunt Weapons
qstr_{s1}_Farmers|{s1} Farmers
qstr_{s1}_Rebels|{s1} Rebels
qstr_Given_by:_{s62}|Given by: {s62}
qstr_Given_on:_{s60}|Given on: {s60}
qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.
qstr_This_quest_has_been_|This quest has been concluded. Talk to {s59} to finish it.
qstr_This_quest_has_been_s|This quest has been successfully completed. Talk to {s59} to claim your reward.
qstr_This_quest_has_faile|This quest has failed. Talk to {s59} to explain the situation.
qstr_At_the_time_quest_wa|At the time quest was given:^{s1}
qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
qstr_Current_garrison_con|Current garrison consists of {reg5} men.^Has food stock for {reg6} days.
qstr_Impoverished|Impoverished
qstr_Extremely_Poor|Extremely Poor
qstr_Very_Poor|Very Poor
qstr_Poor|Poor
qstr_Very_Neglected|Very Neglected
qstr_Neglected|Neglected
qstr_Below_Average|Below Average
qstr_Average|Average
qstr_Above_Average|Above Average
qstr_Prosperous|Prosperous
qstr_Wealthy|Wealthy
qstr_Rich|Rich
qstr_Opulent|Opulent
qstr_Loyal|Loyal
qstr_Devoted|Devoted
qstr_Fond|Fond
qstr_Gracious|Gracious
qstr_Friendly|Friendly
qstr_Supportive|Supportive
qstr_Favorable|Favorable
qstr_Cooperative|Cooperative
qstr_Accepting|Accepting
qstr_Indifferent|Indifferent
qstr_Wary|Wary
qstr_Suspicious|Suspicious
qstr_Hostile|Hostile
qstr_Resentful|Resentful
qstr_Angry|Angry
qstr_Hateful|Hateful
qstr_Revengeful|Revengeful
qstr_Vengeful|Vengeful
qstr_{s1}_Militia_Patrol|{s1} Militia Patrol
qstr_Red_Brotherhood_from|Red Brotherhood from {s1}
qstr_Red_Brotherhood_Thie|Red Brotherhood Thieves
qstr_Rogue_Red_Brotherhoo|Rogue Red Brotherhood Outlaws
qstr_Red_Brotherhood_Slav|Red Brotherhood Slavers
qstr_Singalian_Slavers|Singalian Slavers
qstr_Singalian_Raiders|Singalian Raiders
qstr_Rogue_Singalian_Slav|Rogue Singalian Slavers
qstr_Singalian_Hunters|Singalian Hunters
qstr_Snake_Cult_Patrol|Snake Cult Patrol
qstr_Snake_Worshipers|Snake Worshipers
qstr_Serpent_Coven|Serpent Coven
qstr_Snake_Cult_Killers|Snake Cult Killers
qstr_Snake_Cult_Virgin_Hu|Snake Cult Virgin Hunters
qstr_Snake_Cult_Kidnapper|Snake Cult Kidnappers
qstr_Snake_Cult_Warband|Snake Cult Warband
qstr_Snake_Cult_Doomrider|Snake Cult Doomriders
qstr_Serpent_High_Prieste|Serpent High Priestess Guards
qstr_Snake_Cult_Raiders|Snake Cult Raiders
qstr__A_wandering_travele| A wandering traveler tells you that Maltise and her Dread Legion have landed near Cez and are invading Pendor!
qstr__A_wandering_traveler| A wandering traveler tells you that the worshipers of the snake goddess have landed an army near Cez and are invading Pendor!
qstr_Heretic_Coven|Heretic Coven
qstr_Demon_Worshippers|Demon Worshippers
qstr_Black_Coven|Black Coven
qstr_Death_Cult|Death Cult
qstr_Heretic_Virgin_Hunte|Heretic Virgin Hunters
qstr_Heretic_Sacrifice_Ki|Heretic Sacrifice Kidnappers
