str_no_string|NO STRING!
str_order_attack_success|Your men fight bravely and defeat the enemy.
str_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_order_attack_continue|Despite an extended skirmish, your troops were unable to win a decisive victory.
str_join_order_attack_success|Your men fight well alongside your allies, sharing in the glory as your enemies are beaten.
str_join_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_join_order_attack_continue|Despite an extended skirmish, neither your troops nor your allies were able to win a decisive victory over the enemy.
str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skillfully turning the defeat into a full-fledged rout.
str_siege_defender_order_attack_failure|The assault quickly turns into a bloodbath. Valiant efforts are for naught; the overmatched garrison cannot hold the walls, and the enemy puts every last defender to the sword.
str_siege_defender_order_attack_continue|Repeated, bloody attempts on the walls fail to gain any ground, but too many enemies remain for the defenders to claim a true victory. The siege continues.
str_hero_taken_prisoner|{s1} of the {s3} has been taken prisoner by the {s2}.
str_hero_freed|{s1} of the {s3} has been freed from captivity by {s2}.
str_center_captured|The {s2} have taken {s1} from the {s3}.
str_troop_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_troop_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_faction_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_faction_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_party_gained_morale|Your party gains {reg1} morale.
str_party_lost_morale|Your party loses {reg1} morale.
str_other_party_gained_morale|{s1} gains {reg1} morale.
str_other_party_lost_morale|{s1} loses {reg1} morale.
str_qst_follow_spy_noticed_you|The spy has spotted you! He's making a run for it!
str_father|father
str_husband|husband
str_wife|wife
str_daughter|daughter
str_mother|mother
str_son|son
str_brother|brother
str_sister|sister
str_he|He
str_she|She
str_s3s_s2|{s3}'s {s2}
str_s5_is_s51|{s5} is {s51}.
str_s5_is_the_ruler_of_s51|{s5} is the ruler of {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of the {s6}. 
str_relation_mnus_100|Vengeful
str_relation_mnus_90|Vengeful
str_relation_mnus_80|Vengeful
str_relation_mnus_70|Hateful
str_relation_mnus_60|Hateful
str_relation_mnus_50| Hostile
str_relation_mnus_40|  Angry
str_relation_mnus_30|    Resentful
str_relation_mnus_20|      Grumbling
str_relation_mnus_10|        Suspicious
str_relation_plus_0|         Indifferent
str_relation_plus_10|          Cooperative
str_relation_plus_20|           Welcoming
str_relation_plus_30|            Favorable
str_relation_plus_40|             Supportive
str_relation_plus_50|              Friendly
str_relation_plus_60|               Gracious
str_relation_plus_70|                 Fond
str_relation_plus_80|                  Loyal
str_relation_plus_90|                   Devoted
str_relation_mnus_100_ns|{s60} is a sworn enemy of you.
str_relation_mnus_90_ns|{s60} is very vengeful towards you.
str_relation_mnus_80_ns|{s60} is vengeful towards you.
str_relation_mnus_70_ns|{s60} is spiteful towards you.
str_relation_mnus_60_ns|{s60} is hateful towards you.
str_relation_mnus_50_ns|{s60} is hostile towards you.
str_relation_mnus_40_ns|{s60} is angry towards you.
str_relation_mnus_30_ns|{s60} is resentful against you.
str_relation_mnus_20_ns|{s60} is grumbling against you.
str_relation_mnus_10_ns|{s60} is suspicious towards you.
str_relation_plus_0_ns|{s60} is indifferent against you.
str_relation_plus_10_ns|{s60} is cooperative towards you.
str_relation_plus_20_ns|{s60} is welcoming towards you.
str_relation_plus_30_ns|{s60} is favorable to you.
str_relation_plus_40_ns|{s60} is supportive to you.
str_relation_plus_50_ns|{s60} is friendly to you.
str_relation_plus_60_ns|{s60} is gracious to you.
str_relation_plus_70_ns|{s60} is fond of you.
str_relation_plus_80_ns|{s60} is loyal to you.
str_relation_plus_90_ns|{s60} is devoted to you.
str_relation_reg1| Relation: {reg1}
str_center_relation_mnus_100|The populace hates you with a passion
str_center_relation_mnus_90|The populace hates you intensely
str_center_relation_mnus_80|The populace hates you strongly
str_center_relation_mnus_70|The populace hates you
str_center_relation_mnus_60|The populace is hateful to you
str_center_relation_mnus_50|The populace is extremely hostile to you
str_center_relation_mnus_40|The populace is very hostile to you
str_center_relation_mnus_30|The populace is hostile to you
str_center_relation_mnus_20|The populace is against you
str_center_relation_mnus_10|The populace is opposed to you
str_center_relation_plus_0|The populace is indifferent to you
str_center_relation_plus_10|The populace is acceptive to you
str_center_relation_plus_20|The populace is cooperative to you
str_center_relation_plus_30|The populace is somewhat supportive to you
str_center_relation_plus_40|The populace is supportive to you
str_center_relation_plus_50|The populace is very supportive to you
str_center_relation_plus_60|The populace is loyal to you
str_center_relation_plus_70|The populace is highly loyal to you
str_center_relation_plus_80|The populace is devoted to you
str_center_relation_plus_90|The populace is fiercely devoted to you
str_town_prosperity_0|The poverty and stench of town of {s60} is unbearable
str_town_prosperity_1|The poor and squalorous town of {s60} is filled with desperate people, beggars and thieves.
str_town_prosperity_2|The poorly maintained town of {s60} looks to be a wretched and desolate place.
str_town_prosperity_3|The town of {s60} looks to be filled with the poor and unemployed.
str_town_prosperity_4|The town of {s60} looks poor and neglected.
str_town_prosperity_5|The town of {s60} appears to be struggling.
str_town_prosperity_6|The town of {s60} seems unremarkable.
str_town_prosperity_7|The town of {s60} seems to be upbeat and active.
str_town_prosperity_8|The progressive town of {s60} seems to be busy with activity.
str_town_prosperity_9|The prosperous town of {s60} is bustling with activity and trade.
str_town_prosperity_10|The clean town of {s60} looks well off and well-maintained.
str_town_prosperity_11|The spotless town of {s60} is opulent and crowded with well-to-do people.
str_town_prosperity_12|The glittering town of {s60} openly flaunts its great wealth.
str_village_prosperity_0|The poverty and squalor of village {s60} is unbearable.
str_village_prosperity_1|The squalorous village of {s60} looks wretchedly poor and miserable.
str_village_prosperity_2|The poorly maintained village of {s60} looks penurious and desolate.
str_village_prosperity_3|The village of {s60}, surrounded by unfallowed fields and hovels, looks very poor.
str_village_prosperity_4|The village of {s60} looks poor and neglected.
str_village_prosperity_5|The village of {s60} appears to be somewhat poor and struggling.
str_village_prosperity_6|The village of {s60} seems unremarkable.
str_village_prosperity_7|The village of {s60} seems to be upbeat and active.
str_village_prosperity_8|The clean village of {s60} appears to be thriving.
str_village_prosperity_9|The prosperous village of {s60} seems bustling with activity.
str_village_prosperity_10|The clean village of {s60} looks organized, happy and and prosperous.
str_village_prosperity_11|The spotless village of {s60}, surrounded by vast, fertile fields, looks very well off.
str_village_prosperity_12|The vast rich fields and happy culture of {s60} are a testament to good leadership that promotes fertility and wealth.
str_town_alt_prosperity_0|The few items sold in the market appear to be priced well out of the range of the inhabitants. The people are malnourished, their animals are sick or dying, and the tools of their trade appear to be broken. The back alleys have been abandoned to flies and mangy dogs.
str_town_alt_prosperity_20|You hear grumbling in the marketplace about the price of everyday items, and the shops are half empty. You see the signs of malnourishment on both people and animals, and both buildings and tools suffer from lack of repair. Many may already have migrated to seek work elsewhere.
str_town_alt_prosperity_40|You hear the occasional grumble in the marketplace about the price of everyday items, but there appear to be a reasonable amount of goods for sale. You see the occasional abandoned building, shop, or cart, but nothing more than the ordinary.
str_town_alt_prosperity_60|The people look well-fed and relatively content. Craftsmen do a thriving business, and some migrants appear to be coming here from other regions to seek their luck.
str_town_alt_prosperity_80|The walls, streets, and homes are well-maintained. The markets are thronged with migrants from the nearby regions drawn here by the availability of both goods and work. The rhythm of hammers and looms speak to the business of the artisans' workshops.
str_village_alt_prosperity_0|Only a handful of people are strong enough to work in the fields, many of which are becoming overgrown with weeds. The rest are weak and malnourished, or have already fled elsewhere. The draft animals have long since starved or were eaten, although a few carcasses still lie on the outskirts, their bones gnawed by wild beasts.
str_village_alt_prosperity_20|Some farmers and animals are out in the fields, but their small numbers suggest that some villagers may be emigrating in search of food. Farm implements look rusty and broken. Brush and weeds seem to be reclaiming some of the outermost fields.
str_village_alt_prosperity_40|The fields and orchards are busy, with villagers engaged in the tasks of the seasons. Humans and animals alike look relatively healthy and well-fed. However, a small number of the outermost fields are left unsewn, and some walls are in ill repair, suggesting that there are still not quite enough hands to do all the work which needs to be done.
str_village_alt_prosperity_60|The fields and orchards are humming with activity, with filled sacks of grain and drying meat testifying to the productivity of the village's cropland and pastureland.
str_village_alt_prosperity_80|The fields and orchards are humming with activity, with freshly dug irrigation ditches suggest that the farmers have enough spare time and energy to expand area under cultivation. Seasonal laborers appear to be flocking here to help with the work and join in the general prosperity.
str_oasis_village_alt_prosperity_0|The palm groves are virtually abandoned, and the canals which irrigate them are clogged with silt. The handful of villagers you see look malnourished and restless. The draft animals have long since starved or were eaten, although a few carcasses still lie on the outskirts, their bones gnawed by the wild jackals of the desert.
str_oasis_village_alt_prosperity_20|Few villagers can be seen tending to the palm groves, and in places, the desert dunes appear to be encroaching on the gardens. Many of the canals are clogged with silt, and the wells and cisterns are filled with sand.
str_oasis_village_alt_prosperity_40|Men and women are busy tending the palm groves, climbing to the tops of trees to pollinate the fruit. Healthy animals draw the pumps and wheels that bring water to the fields. Some of the irrigation canals and cisterns, however, could use some maintenance.
str_oasis_village_alt_prosperity_60|The palm groves and orchards are humming with activity. Farmers call to each other cheerfully from the tops of the trees, where they pollinate the date fruit. The creak of wooden pumps, the bellowing of draft animals, and the rush of flowing water speak of an irrigation system that is thriving under the villagers' attention.
str_oasis_village_alt_prosperity_80|The palm groves are humming with activity, as farmers load up a bumper crop of dates for sale to the market. Men and women are hard at work digging new wells and canals, to bring additional land under irrigation.
str_acres_grain|acres of grainfields
str_acres_orchard|acres of orchards and vineyards
str_acres_oasis|acres of irrigated oasis gardens
str_looms|looms
str_boats|boats
str_head_cattle|head of cattle
str_head_sheep|head of sheep
str_mills|mills
str_kilns|kilns
str_pans|pans
str_deposits|deposits
str_hives|hives
str_breweries|breweries
str_presses|presses
str_smithies|smithies
str_caravans|overland caravans
str_traps|traps
str_gardens|small gardens
str_tanneries|tanning vats
str_master_miller|Master miller
str_master_brewer|Master brewer
str_master_presser|Master presser
str_master_smith|Master smith
str_master_tanner|Master tanner
str_master_weaver|Master weaver
str_master_dyer|Master dyer
str_war_report_minus_4|we are about to lose the war
str_war_report_minus_3|the situation looks bleak
str_war_report_minus_2|things aren't going too well for us
str_war_report_minus_1|we can still win the war if we rally
str_war_report_0|we are evenly matched with the enemy
str_war_report_plus_1|we have a fair chance of winning the war
str_war_report_plus_2|things are going quite well
str_war_report_plus_3|we should have no difficulty defeating them
str_war_report_plus_4|we are about to win the war
str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seem to be effective. Whenever you start to make sense, you say something entirely wrong which puts you off track. By the time you finish speaking you've failed to form a single coherent point in your own favor, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|You try to persuade {s50}, but {reg51?she:he} outmanoeuvres you from the very start. Even your best arguments sound hollow to your own ears. {s50}, obviously, has not formed a very high opinion of your words.
str_persuasion_summary_average|{s50} turns out to be a skilled speaker with a keen mind, and you don't seem unable to muster an argument that {reg51?she:he} cannot counter with a valid point. In the end, neither of you manage to gain any ground in your discussion.
str_persuasion_summary_good|Through quick thinking and smooth debate, you state your case well, forcing {s50} to concede on several points. However, {reg51?she:he} still expresses doubts about the validity of your request.
str_persuasion_summary_very_good|You deliver an impassioned speech which echoes like poetry to your listeners. The world itself seems to go quiet that it might hear you better. Your inspiring words have moved {s50} deeply, and {reg51?she:he} looks more well-disposed towards helping you.
str_secret_sign_1|The armoire dances at midnight...
str_secret_sign_2|I am selling these fine D'Shar tapestries. Would you like to buy some?
str_secret_sign_3|The friend of a friend sent me...
str_secret_sign_4|The wind blows hard from the east and the river runs red...
str_countersign_1|But does he dance for the dresser or the candlestick?
str_countersign_2|Yes I would, do you have any in blue?
str_countersign_3|But, my friend, your friend's friend will never have a friend like me.
str_countersign_4|Have you been sick?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Boris
str_name_26|Tomas
str_name_27|Astrid
str_name_28|Angus
str_name_29|Tarl
str_name_30|Barak
str_name_31|Harad
str_name_32|Eregas
str_name_33|Voldor
str_name_34|Ansen
str_name_35|Pelmar
str_name_36|Harris
str_name_37|Trevanir
str_name_38|Rosborne
str_name_39|Rathmore
str_name_40|Tanis
str_name_41|Mason
str_name_42|Janus
str_name_43|Denton
str_name_44|Harl
str_name_45|Thesar
str_name_46|Gildroyk
str_name_47|Borman
str_name_48|Loren
str_name_49|Samuelk
str_name_50|William
str_name_51|Datuvahya
str_name_52|Kuru
str_name_53|Thuxra
str_name_54|Vahauka
str_name_55|Aedan
str_name_56|Bledros
str_name_57|Brithael
str_name_58|Cingur
str_name_59|Grifiud
str_name_60|Gurbodu
str_name_61|Iudicael
str_name_62|Loi
str_name_63|Mermin
str_name_64|Marnid
str_name_65|Borscha
str_name_66|Morcana
str_name_67|Ossín
str_name_68|Putrael
str_name_69|Resmen
str_name_70|Talen
str_name_71|Guyvon
str_name_73|Harmond
str_name_74|Ulris
str_name_75|Rarb
str_name_76|Vernis
str_name_77|Fengreve
str_name_78|Boris
str_name_79|Bors
str_name_80|Arthur
str_name_81|Tranced
str_name_82|Braggi
str_name_83|Oslin
str_name_84|Baran
str_name_85|Barek
str_name_86|Dahan
str_surname_1|{s50} of Laria
str_surname_2|{s50} of Sarleon
str_surname_3|{s50} of Cez
str_surname_4|{s50} of Avendor
str_surname_5|{s50} of Senderfall
str_surname_6|{s50} of Marleons
str_surname_7|{s50} of Poinsbruk
str_surname_8|{s50} of Ravenstern
str_surname_9|{s50} of Torbah
str_surname_10|{s50} of Valonbray
str_surname_11|{s50} of Windholm
str_surname_12|{s50} of Jarlsholm
str_surname_13|{s50} of Rane
str_surname_14|{s50} of Tharn
str_surname_15|{s50} the Red
str_surname_16|{s50} Shadowalker
str_surname_17|{s50} the Shadow
str_surname_18|{s50} Longshanks
str_surname_19|{s50} of Barclay
str_surname_20|{s50} of Tosdhar
str_surname_21|{s50} the Long
str_surname_22|{s50} the Gaunt
str_surname_23|{s50} Silkybeard
str_surname_24|{s50} the Sparrow
str_surname_25|{s50} the Pauper
str_surname_26|{s50} the Scarred
str_surname_27|{s50} the Fair
str_surname_28|{s50} the Grim
str_surname_29|{s50} the Red
str_surname_30|{s50} the Black
str_surname_31|{s50} the Tall
str_surname_32|{s50} Star-Eyed
str_surname_33|{s50} the Fearless
str_surname_34|{s50} the Valorous
str_surname_35|{s50} the Cunning
str_surname_36|{s50} the Coward
str_surname_37|{s50} Bright
str_surname_38|{s50} the Quick
str_surname_39|{s50} the Minstrel
str_surname_40|{s50} the Bold
str_surname_41|{s50} Gravanar
str_surname_42|{s50} Oakenshield
str_surname_43|{s50} Cloviar
str_surname_44|{s50} Horian
str_surname_45|{s50} Tredecer
str_surname_46|{s50} Wolfgar
str_surname_47|{s50} Tendar
str_surname_48|{s50} Fenland
str_surname_49|{s50} Ravenlad
str_surname_50|{s50} Avenmoor
str_surname_51|{s50} Sensil
str_surname_53|{s50} Southbridge
str_surname_54|{s50} Northbridge
str_surname_55|{s50} Seastrom
str_surname_56|{s50} Foxworth
str_surname_57|{s50} Gresham
str_surname_58|{s50} Udrak
str_surname_59|{s50} Speardran
str_surname_60|{s50}  Evansword
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Number of troops killed: {reg1}
str_number_of_troops_wounded_reg1|Number of troops wounded: {reg1}
str_number_of_own_troops_killed_reg1|Number of friendly troops killed: {reg1}
str_number_of_own_troops_wounded_reg1|Number of friendly troops wounded: {reg1}
str_retreat|Retreat!
str_siege_continues|Fighting Continues...
str_casualty_display|Your casualties: {s10}^Enemy casualties: {s11}{s12}
str_casualty_display_hp|^You were wounded for {reg1} hit points.
str_quest_log_updated|Quest log has been updated...
str_banner_selection_text|You have been awarded the right to carry a banner. Your banner will signify your status as a Noble of Pendor and bring you honor. Which banner do you want to choose?
str_retirement_text_1|You grew weary of fighting Pendor's battles, and your old wounds trouble you these days. You spent too much money on troops and gear in your youth, but long since sold off your armor and weapons and are now virtually penniless. Thanks to the charity of the friendly lord of {s9} you get by, cleaning his stables and sweeping his courtyard. Your glory days are over and you no longer speak of them, though you still have your memories; little enough recompense for all those years of fighting for a lost cause. You keep those to yourself, because no one is interested in the ramblings of a half-crippled stableman who might once have been a soldier.
str_retirement_text_2|You always lived for today and rarely considered tomorrow, assuming you would be killed in battle long before you were too old to fight. When your money ran out you joined the Red Brotherhood as a low-level outlaw and now run errands for those you once sold to the galleys. Sometimes you reflect bitterly on the irony of your current life. Your once-high ideals are gone, as you realize you are now robbing those whom you used to defend. You slip deeper into a life of crime and cruelty. Your life ends on the gallows for murder and you laugh as the {s9} hangman tightens the noose around your neck.
str_retirement_text_3|You have come down considerably from your days as a {s13}, though you still retain the mannerisms of your former days. Your troops have deserted or died in your battles. You take to drink and drift from tavern to tavern, boring all those willing to listen with tales of your former successes, while hustling drinks from the patrons. Once in a while someone recognizes you, but your former fame is good only for a free drink from a kind man who remembers what you once were.
str_retirement_text_4|You finally realize you are tired of war, and retire to the village of {s7}, which you once freed from bandits. The grateful villagers accept you as one of their own, and you make your living training the village militia and do a bit of farming. You marry a village {reg63?lass:lad} and raise a flock of sturdy peasant children who never tire of your tales of the battles you fought and the enemies you vanquished. You shout angrily at your oldest son, who wants to become a soldier. You end your days a respected village Elder, content with the peace and family you found in {s7}.
str_retirement_text_5|What once seemed a vast sum of denars evaporates quickly, but you have enough left of your loot to purchase a tavern in {s9}. You smile to recall that you have purchased this same inn twice, as you once paid a handsome sum to the former innkeeper for damages your men did to this very tavern. The men of the {s9} garrison patronize your tavern and enjoy hearing your tales of victorious battles against overwhelming odds though they take them with a grain of salt. Your profits grow, and you expand your premises to include a banquet and wedding hall. Your inn is famous all over Pendor, and you are now a more successful host than you ever were a {s13}.
str_retirement_text_6|As you fought over the length and breadth of Pendor, as a {s13} you traded between towns and villages, and found you had a good head for business. You have battled many foes,{s15} and invested your profits with a trader in {s9}, whose caravans you once escorted. You now own several warehouses in {s9}, your caravans traverse Pendor and your ships carry heavy cargoes to and from Barclay. You marry the trader's {reg63?daughter:son} and train up your children as good little merchants. Sometimes over wine, you regale your clients and partner with tales of your days as a soldier, but memories fade. The success of your merchanting dynasty will long outlast your fame as a {s13}.
str_retirement_text_7|Though you came to Pendor a penniless adventurer, your battle successes have made you rich. You own the town of {s9} and prove to be a capable administrator, skilled at delegating while keeping a wary eye on your underlings. Your holdings prosper and pay a fine income because you keep taxes low to encourage investment. Your improvements have paid off and you are a popular {reg63?lord:lady} in Pendor. When you must ride to battle, you feel young again as the clash of weapons stirs your blood. Still, you really prefer hunting to battle and adjudicating trade disputes to fighting wars. You are overall quite content with your lot and don't regret your retirement.
str_retirement_text_8|Though once hailed as the savior prophesied by Madigan, you failed to unite all Pendor under your banner. You are revered as a great Pendorian hero because you fought off many invading armies,{s15} whose wars once tore Pendor apart. Peace pervades Pendor, and you deal with those who disturb it harshly. You are careful to stay on good terms with your vassals and your neighbor kings and are ever vigilant against future threats to Pendor. Not having a taste for administration, you kept {s8} and awarded the rest to your faithful companions and vassals. Sometimes you all get together and speak of the old days, reminiscing about your glorious deeds, but all of you agree that peace is preferable to the constant warfare of your early years in Pendor.
str_retirement_text_9|Though once hailed as the savior prophesied by Madigan, you failed to unite all Pendor under one banner. You fought and defeated huge invading armies,{s15} but did not become the {reg63?king:queen} of all Pendor. Your holdings are vast and you are wealthy beyond your wildest dreams. Lords who once sneered at you now curry your favor because you outrank them and still have the reputation of dealing effectively and fatally with insults. You rule your own holdings with a firm and just hand and rarely think any more of your hand-to-mouth days as a soldier.
str_retirement_text_10|All Pendor lies beneath your hand and you are everywhere hailed as the savior Madigan prophesied would unite the land. You defeated all invading armies, beat back avaricious and power-hungry Lords, and humbled Pendor's so-called Kings. Your slightest wish is a command and your word is absolute law throughout the land. Luckily, you are both fair and just, and never abuse your position. You always remember your humble beginnings, though now every luxury available is yours for the asking. You reward loyalty and swiftly punish wrongdoing and the people love you for it. Still, you know how quickly a throne can be lost, and never relax your vigilance. Sometimes you stand atop your castle and look to the South, wondering what will come next to Pendor.
str_loot_village|attack innocent villagers
str_steal_from_villagers|steal from poor villagers
str_rob_caravan|rob a merchant caravan
str_sell_slavery|sell people into slavery
str_men_hungry|run out of food
str_men_unpaid|not be able to pay the men
str_excessive_casualties|turn every battle into a bloodbath for our side
str_surrender|surrender to the enemy
str_flee_battle|run from battle
str_cheat_in_battle|cheat in battle
str_pay_bandits|pay off common bandits
str_fail_quest|fail a quest which we undertook on word of honor
str_squander_money|squander money given to us in trust
str_murder_merchant|involve ourselves in cold-blooded murder
str_round_up_serfs|round up serfs on behalf of some noble
str_battle_fate_1|We were separated in the heat of battle
str_battle_fate_2|I was wounded and left for dead
str_battle_fate_3|I was knocked senseless by the enemy
str_battle_fate_4|I was taken and held for ransom
str_battle_fate_5|I got captured, but later managed to escape
str_npc_morale_report|I'm {s6} your choice of companions, {s7} your style of leadership, and {s8} the general state of affairs
str_happy|happy about
str_content|content with
str_concerned|concerned about
str_not_happy|not at all happy about
str_miserable|downright appalled at
str_morale_reg1| Morale: {reg1}
str_bar_enthusiastic|                   Enthusiastic
str_bar_content|              Content
str_bar_weary|          Weary
str_bar_disgruntled|     Disgruntled
str_bar_miserable|  Miserable
str_here_plus_space|here 
str_npc_adonja_intro|Yes? You wish to speak with me? I'm in no mood for idle chitchat, so be brief.
str_npc_leslie_intro|Hello, {reg63?Sir:Madam}. Are you in need of a quartermaster skilled in all aspects of distribution and procurement of supplies?
str_npc_ansen_intro|Good day, my {reg63?Lord:Lady}.
str_npc_riva_intro|Greetings, {reg63?Sir:Madam}. I am Riva Blackwolf of Laria. Doubtless you have heard my name?
str_npc_kassim_intro|Greetings, {reg63?Bahadur:Bibi}. Would you share tea and conversation with one alone and far from his home?
str_npc_lethaldiran_intro|Greetings, human. Would you happen to be in need of a Noldor's services?
str_npc_jocelyn_intro|Why do you stare at me, {reg63?Sir:Madam}? Have you never laid eyes upon a knight before? Do you think this is a zoo?
str_npc_alistair_intro|I needed a drink to steady my nerves! I came upon a dead girl outside of town. Her heart had been ripped from her breast.
str_npc_rayne_intro|Well met, my good {reg63?Sir:Lady}. Would you like to share a drink with me.
str_npc_julia_intro|Greetings there, {reg63?Lord:Lady} Captain, I am Julia, formerly of Janos.
str_npc_frederick_intro|Hail, Mijn Commandant. What word have you of the wars in Pendor?
str_npc_ediz_intro|I salute you, {reg63?lord:lady} Captain.
str_npc_sara_intro|Greetings, Captain. I am called Sara the Fox.
str_npc_donavan_intro|Yes? What is it you wish, stranger? I've little patience with tavern gossipers.
str_npc_diev_intro|If I wanted company, I'd have it already. That said, the company wouldn't look at all like you.
str_npc_alyssa_intro|Greetingssss. Do you sseek sskilled ssoldierss for your company?
str_npc_roland_intro|Good day to you, {reg63?Sir:Madam} Captain. I am pleased to make your acquaintance under these circumstances.
str_npc_kaverra_intro|What do you want?
str_npc_sigismund_intro|What the hell do you want with me, stranger? Piss off, and leave a man to drown his sorrows in peace.
str_npc_boadice_intro|Well, well, a proper-looking warrior at last. I'd quite despaired of finding one. I've been looking for a Captain worth joining, but I will not follow just anyone!
