str_no_string|STRING 없습니다!
str_february_reg1_reg2|2 월 {reg1}, {reg2}
str_march_reg1_reg2|3 월 {reg1}, {reg2}
str_april_reg1_reg2|4 월 {reg1}, {reg2}
str_may_reg1_reg2|{reg1}, {reg2}
str_june_reg1_reg2|{reg1}, {reg2}
str_july_reg1_reg2|7 월 {reg1}, {reg2}
str_august_reg1_reg2|8 월 {reg1}, {reg2}
str_september_reg1_reg2|9 월 {reg1}, {reg2}
str_october_reg1_reg2|10 월 {reg1}, {reg2}
str_november_reg1_reg2|11 월 {reg1}, {reg2}
str_december_reg1_reg2|12 월 {reg1}, {reg2}
str_town_nighttime|밤이 늦었고 정직한 사람들이 거리를 버렸습니다.
str_door_locked|문이 잠겨 있습니다.
str_castle_is_abondened|성이 비어있는 것 같습니다.
str_town_is_abondened|이 도시에는 수비대가 없다.
str_place_is_occupied_by_player|장소는 당신의 자신의 군대에 의해 개최됩니다.
str_place_is_occupied_by_enemy|이곳은 적대적인 군대에 의해 개최됩니다.
str_place_is_occupied_by_friendly|장소는 친절한 군대에 의해 개최됩니다.
str_do_you_want_to_retreat|퇴각 하시겠습니까?
str_give_up_fight|싸움을 포기?
str_do_you_wish_to_leave_tutorial|튜토리얼을 떠나시겠습니까?
str_do_you_wish_to_surrender|항복하고 싶습니까?
str_can_not_retreat|후퇴 할 수 없습니다. 근처에 적이 있습니다!
str_s1_joined_battle_enemy|{s7}이 적의 전투에 참여했습니다.
str_s1_joined_battle_friend|{s7}이 (가) 귀하의 전투에 참여했습니다.
str_entrance_to_town_forbidden|마을 경비대가 침입자를 감시하고 있으며, 도전을받지 못한 문을 통과 할 수 없을 것 같습니다.
str_sneaking_to_town_impossible|마을 경비원은 놀라게된다. 아무리 자신을 가장 잘 변해도 그 문을 몰래 빠져 나올 수 없습니다.
str_battle_won|당신은 전투에서 승리했습니다!
str_battle_lost|당신은 전투를 잃었습니다!
str_attack_walls_success|피의 싸움 후, 당신의 용감한 군인들은 적의 벽을 차지할 수 있습니다.
str_attack_walls_failure|당신의 병사들은 성벽을 채우면서 파도에 빠지고, 살아남은 소수는 곧 도망쳐 도망 치지 않습니다.
str_attack_walls_continue|피의 싸움이 계속되고 양측은 같은 가치로 싸 웁니다. 당신의 군대의 노력에도 불구하고, 성은 적의 손에 남아 있습니다.
str_order_attack_success|당신의 부하들은 용감하게 싸워서 적을 물리칩니다.
str_order_attack_failure|적군이 병사들을 처치하면서 절망에 빠진 전투를 본 다음, 몇몇 거친 생존자들을 쉽게 몰아냅니다.
str_order_attack_continue|오랜 투쟁에도 불구하고, 당신의 군대는 결정적인 승리를 이길 수 없었습니다.
str_join_order_attack_success|당신의 남자들은 당신의 적들을 물리 치면서 영광을 나누며 아군들과 잘 싸 웁니다.
str_join_order_attack_failure|적군이 병사들을 처치하면서 절망에 빠진 전투를 본 다음, 몇몇 거친 생존자들을 쉽게 몰아냅니다.
str_join_order_attack_continue|오랜 투쟁에도 불구하고, 부대 나 동맹국 모두 적을 상대로 결정적인 승리를 거둘 수 없었습니다.
str_siege_defender_order_attack_success|주둔지 병사들은 기술과 용기로 벽을 잡고 적의 공격을 차단하고 패배를 본격적으로 진행합니다.
str_siege_defender_order_attack_failure|폭행은 빠르게 피의 목욕으로 변합니다. 용감한 노력은 소홀히합니다. 대결 한 수비대는 벽을 붙잡을 수 없으며, 적은 모든 마지막 수비수를 검에 넣습니다.
str_siege_defender_order_attack_continue|반복적으로 벽에 피의 시도는 아무 땅도 얻지 못하지만 방어자가 진정한 승리를 주장하기에는 너무 많은 적들이 남아 있습니다. 포위는 계속됩니다.
str_hero_taken_prisoner|{s2}가 {s3}의 {s1}을 포로로 잡았습니다.
str_hero_freed|{s2}가 {s3}의 {s1}을 사로 잡지 못했습니다.
str_center_captured|{s2}가 {s3}에서 {s1}을 가져 왔습니다.
str_troop_relation_increased|{s1}과의 관계가 {reg1}에서 {reg2} (으)로 증가했습니다.
str_troop_relation_detoriated|{s1}과의 관계가 {reg1}에서 {reg2} (으)로 악화되었습니다.
str_faction_relation_increased|{s1}과의 관계가 {reg1}에서 {reg2} (으)로 증가했습니다.
str_faction_relation_detoriated|{s1}과의 관계가 {reg1}에서 {reg2} (으)로 악화되었습니다.
str_party_gained_morale|당신의 파티는 {reg1} 사기를 얻습니다.
str_party_lost_morale|당신의 파티는 {reg1} 사기를 잃습니다.
str_other_party_gained_morale|{s1}은 {reg1} 사기를 얻습니다.
str_other_party_lost_morale|{s1}은 {reg1} 사기를 잃습니다.
str_qst_follow_spy_noticed_you|스파이가 당신을 발견했습니다! 그는 그것을 위해 달려 가고있다!
str_father|아버지
str_husband|남편
str_wife|아내
str_daughter|딸
str_mother|어머니
str_son|아들
str_brother|동료
str_sister|여자 형제
str_he|그
str_she|여자
str_s3s_s2|{s3}의 {s2}
str_s5_is_s51|{s5}는 {s51}입니다.
str_s5_is_the_ruler_of_s51|{s5}는 {s51}의 통치자입니다.
str_s5_is_a_nobleman_of_s6|{s5}는 {s6}의 귀족입니다.
str_relation_mnus_100|복수
str_relation_mnus_90|복수
str_relation_mnus_80|복수
str_relation_mnus_70|증오
str_relation_mnus_60|증오
str_relation_mnus_50|적의
str_relation_mnus_40|성난
str_relation_mnus_30|분개
str_relation_mnus_20|투정
str_relation_mnus_10|의심 많은
str_relation_plus_0|무관심한
str_relation_plus_10|협력적인
str_relation_plus_20|환영
str_relation_plus_30|유리한
str_relation_plus_40|지지하는
str_relation_plus_50|친한
str_relation_plus_60|공손한
str_relation_plus_70|다정한
str_relation_plus_80|충성스러운
str_relation_plus_90|저주 받은
str_relation_mnus_100_ns|{s60}은 당신의 맹세입니다.
str_relation_mnus_90_ns|{s60}은 당신에게 매우 복수합니다.
str_relation_mnus_80_ns|{s60}은 당신에게 복수합니다.
str_relation_mnus_70_ns|{s60}은 당신에게 정신이 없습니다.
str_relation_mnus_60_ns|{s60}은 당신을 미워합니다.
str_relation_mnus_50_ns|{s60}은 당신에게 적대적입니다.
str_relation_mnus_40_ns|{s60}이 (가) 귀하에게 화를 냈습니다
str_relation_mnus_30_ns|{s60}은 (는) 당신에게 분개합니다.
str_relation_mnus_20_ns|{s60}이 (가) 귀하에게 불평하고 있습니다.
str_relation_mnus_10_ns|{s60}은 당신을 의심합니다.
str_relation_plus_0_ns|{s60}은 당신에게 무관심합니다.
str_relation_plus_10_ns|{s60}은 당신을 위해 협력합니다.
str_relation_plus_20_ns|{s60}이 당신을 환영합니다.
str_relation_plus_30_ns|{s60}은 당신에게 유리합니다.
str_relation_plus_40_ns|{s60}이 귀하를 지원합니다.
str_relation_plus_50_ns|{s60}은 당신에게 친절합니다.
str_relation_plus_60_ns|{s60}은 당신에게 은혜입니다.
str_relation_plus_70_ns|{s60}은 당신을 좋아합니다.
str_relation_plus_80_ns|{s60}은 당신에게 충성합니다.
str_relation_plus_90_ns|{s60}은 당신에게 헌신합니다.
str_relation_reg1|관계 : {reg1}
str_center_relation_mnus_100|대중은 열정으로 당신을 미워합니다
str_center_relation_mnus_90|대중은 당신을 강하게 미워합니다
str_center_relation_mnus_80|대중은 당신을 강하게 미워합니다
str_center_relation_mnus_70|대중이 당신을 미워합니다
str_center_relation_mnus_60|대중은 당신을 미워합니다
str_center_relation_mnus_50|대중은 당신에게 매우 적대적입니다
str_center_relation_mnus_40|대중은 당신에게 매우 적대적입니다
str_center_relation_mnus_30|대중은 적대적입니다
str_center_relation_mnus_20|대중은 당신을 반대합니다
str_center_relation_mnus_10|대중은 당신에게 반대
str_center_relation_plus_0|대중은 당신에게 무관심
str_center_relation_plus_10|대중은 당신을 받아들입니다
str_center_relation_plus_20|대중은 당신에게 협조적입니다
str_center_relation_plus_30|대중은 당신을 다소지지합니다
str_center_relation_plus_40|대중은 당신을지지합니다
str_center_relation_plus_50|대중은 당신을 매우지지합니다
str_center_relation_plus_60|대중은 당신에게 충성입니다
str_center_relation_plus_70|대중은 당신에게 매우 충성합니다
str_center_relation_plus_80|대중은 당신에게 헌신
str_center_relation_plus_90|대중은 당신에게 열렬히 헌신하고 있습니다
str_town_prosperity_0|{s60} 도시의 빈곤과 악취는 견딜 수 없습니다
str_town_prosperity_1|가난하고 악의적 인 {s60} 마을은 절망적 인 사람들, 거지, 도둑들로 가득합니다.
str_town_prosperity_2|잘 관리되지 않은 {s60} 도시는 비참하고 황량한 곳으로 보입니다.
str_town_prosperity_3|{s60}의 도시는 빈곤층과 실업자로 가득 차있는 것으로 보입니다.
str_town_prosperity_4|{s60}의 도시는 가난하고 소홀히 보입니다.
str_town_prosperity_5|{s60}의 도시는 어려움을 겪고있는 것으로 보입니다.
str_town_prosperity_6|{s60}의 도시는 눈에 띄지 않는 것 같습니다.
str_town_prosperity_7|{s60}의 도시는 낙관적이고 활발한 것으로 보입니다.
str_town_prosperity_8|진보적 인 도시 {s60}은 (는) 활동이 많은 것 같습니다.
str_town_prosperity_9|번영하는 도시 {s60}은 (는) 활동과 무역으로 붐비고 있습니다.
str_town_prosperity_10|깨끗한 마을 {s60}은 잘 정비되어 있습니다.
str_town_prosperity_11|흠없는 {s60} 도시는 화려하고 풍성한 사람들로 붐 빕니다.
str_town_prosperity_12|반짝이는 {s60} 마을은 그 큰 부를 공개적으로 자랑합니다.
str_village_prosperity_0|마을 {s60}의 빈곤과 싸움꾼은 견딜 수 없습니다.
str_village_prosperity_1|{s60}의 무자비한 마을은 비참하게 가난하고 비참 해 보입니다.
str_village_prosperity_2|제대로 관리되지 않은 {s60} 마을은 의심스럽고 황폐 해 보입니다.
str_village_prosperity_3|훼손되지 않은 들판과 들창으로 둘러싸인 {s60} 마을은 매우 가난 해 보입니다.
str_village_prosperity_4|{s60}의 마을은 가난하고 소홀히 보입니다.
str_village_prosperity_5|{s60} 마을은 다소 가난하고 어려움을 겪고있는 것으로 보입니다.
str_village_prosperity_6|{s60} 마을은 눈에 띄지 않는 것 같습니다.
str_village_prosperity_7|{s60}의 마을은 낙관적이고 활발한 것으로 보입니다.
str_village_prosperity_8|깨끗한 마을 {s60}이 번창하고 있습니다.
str_village_prosperity_9|번영하는 {s60} 마을은 활기가 넘칩니다.
str_village_prosperity_10|깨끗한 마을 {s60}은 조직적이고 행복하며 번영합니다.
str_village_prosperity_11|광대하고 비옥 한 들판으로 둘러싸인 {s60}의 흠없는 마을은 아주 잘 보입니다.
str_village_prosperity_12|{s60}의 광대 한 부지와 행복한 문화는 다산과 부를 장려하는 훌륭한 리더십에 대한 증거입니다.
str_town_alt_prosperity_0|시장에서 판매되는 몇 안되는 품목은 주민의 범위를 벗어나는 가격이 책정 된 것으로 보입니다. 사람들은 영양 실조 상태에 있고 동물들이 아프거나 죽고 있으며 무역 도구가 깨져있는 것 같습니다. 뒷골목은 파리와 멍청한 개에게 버려졌습니다.
str_town_alt_prosperity_20|시장에서 일상 용품의 가격에 대해 불평하는 소리가 들리고 상점이 반쯤 비어 있습니다. 사람과 동물 모두에서 영양 실조의 징후가 보이며 건물과 도구 모두 수리가 부족합니다. 많은 사람들이 다른 곳에서 일을하기 위해 이미 이주했을 수도 있습니다.
str_town_alt_prosperity_40|일상 품목의 가격에 대해 가끔 시장에서 불평하는 소리가 들리지만 판매 할 수있는 합리적인 수량의 상품이있는 것 같습니다. 때때로 버려진 건물, 상점 또는 카트를 볼 수 있지만 평범한 것 이상은 아닙니다.
str_town_alt_prosperity_60|사람들은 잘 먹고 상대적으로 만족해 보입니다. 장인들은 번창하는 사업을하고 있으며, 일부 이민자들은 다른 지역에서 행운을 찾아 오기 위해 이곳에 오는 것 같습니다.
str_town_alt_prosperity_80|벽, 거리 및 집은 잘 관리되어 있습니다. 시장은 상품과 일의 가용성으로 인해 여기에서 그린 인근 지역 출신의 이민자들로 가득 차 있습니다. 망치와 베틀의 리듬은 장인 워크샵의 비즈니스와 관련이 있습니다.
str_village_alt_prosperity_0|소수의 사람들 만이 들판에서 일하기에 충분히 강하고, 그 중 많은 사람들이 잡초로 자란다. 나머지는 약하고 영양 실조 상태이거나 이미 다른 곳에서 도망 쳤습니다. 초안 동물은 오래 전에 굶어 죽거나 먹었지 만, 일부 시체는 여전히 외곽에 있지만 뼈는 야생 짐승에 의해 gna 아 먹었습니다.
str_village_alt_prosperity_20|일부 농부들과 동물들은 들판에 있지만, 소수의 사람들은 일부 마을 사람들이 음식을 찾아 이주 할 수도 있다고 제안합니다. 농장 도구는 녹슬고 부서져 보입니다. 브러시와 잡초는 가장 바깥 쪽의 들판을 되 찾는 것 같습니다.
str_village_alt_prosperity_40|들판과 과수원은 바쁘고 마을 사람들은 계절의 일에 종사합니다. 인간과 동물은 모두 비교적 건강하고 번식하게 보입니다. 그러나, 가장 적은 수의 최 외곽 들판은 봉제되지 않은 채로 남아 있으며, 일부 벽은 수리가 잘 안되어있어,해야 할 모든 작업을 수행 할 수있는 손이 아직 충분하지 않다는 것을 나타냅니다.
str_village_alt_prosperity_60|들판과 과수원은 농작물과 목초지의 생산성을 입증하는 곡물 자루와 마른 고기 자루가 가득한 활동으로 허밍입니다.
str_village_alt_prosperity_80|밭과 과수원은 활동으로 흥얼 거리며, 갓 파는 관개 도랑은 농민들이 재배 지역을 확장하기에 충분한 여유 시간과 에너지를 가지고 있음을 시사합니다. 계절 노동자들은 일을 도와주고 전반적인 번영에 동참하기 위해 이곳에 모여있는 것처럼 보입니다.
str_oasis_village_alt_prosperity_0|야자 숲은 거의 버려졌고 관개 수로가 막힌 곳으로 막혔습니다. 당신이 보는 소수의 마을 사람들은 영양 실조와 불안한 것처럼 보입니다. 초안 동물은 오래 전에 굶어 죽거나 먹었지 만, 일부 시체는 여전히 외곽에 있지만 뼈는 사막의 야생 자칼로 by 아 먹었습니다.
str_oasis_village_alt_prosperity_20|종려 나무 숲을 돌보는 마을 사람들은 거의 없으며, 사막 언덕은 정원에서 잠식하는 것처럼 보입니다. 많은 운하가 미사로 막히고 우물과 물통은 모래로 채워져 있습니다.
str_oasis_village_alt_prosperity_40|남자와 여자는 야자 숲을 돌 보느라 바쁘고 과일을 수분하기 위해 나무 꼭대기로 올라갑니다. 건강한 동물들은 들판에 물을 가져 오는 펌프와 바퀴를 끌어옵니다. 그러나 일부 관개 운하와 물통은 약간의 유지 관리를 사용할 수 있습니다.
str_oasis_village_alt_prosperity_60|야자 숲과 과수원은 활동으로 흥얼 거립니다. 농부들은 나무 꼭대기에서 서로 유쾌하게 전화를 걸어 데이트 과일을 수분시킵니다. 나무 펌프의 삐걱 거리는 소리, 초안 동물의 울음 소리 및 흐르는 물의 급류는 마을 사람들의 관심을 받아 번성하는 관개 시스템을 말합니다.
str_oasis_village_alt_prosperity_80|팜 그 로브는 농민들이 시장에 판매 할 범퍼 작물을 싣고 활동을 벌이고 있습니다. 남성과 여성은 새로운 우물과 운하를 파서 관개중인 추가 땅을 가져 오기 위해 열심히 일하고 있습니다.
str_acres_grain|에이커의 곡물 밭
str_acres_orchard|에이커의 과수원과 포도원
str_acres_oasis|관개 된 오아시스 정원 에이커
str_looms|직기
str_boats|보트
str_head_cattle|소의 머리
str_head_sheep|양의 머리
str_mills|밀스
str_kilns|가마
str_pans|프라이팬
str_deposits|매장
str_hives|두드러기
str_breweries|양조장
str_presses|프레스
str_smithies|대장간
str_caravans|육로 캐러밴
str_traps|트랩
str_gardens|작은 정원
str_tanneries|선탠 통
str_master_miller|마스터 밀러
str_master_brewer|마스터 브루어
str_master_presser|마스터 압착기
str_master_smith|마스터 스미스
str_master_tanner|마스터 태너
str_master_weaver|마스터 위버
str_master_dyer|마스터 다이어
str_war_report_minus_4|우리는 전쟁에서지고있다
str_war_report_minus_3|상황이 어둡게 보인다
str_war_report_minus_2|일이 우리에게 너무 잘되지 않습니다
str_war_report_minus_1|우리는 집회하면 여전히 전쟁에서 이길 수 있습니다
str_war_report_0|우리는 적과 균등하게 일치합니다
str_war_report_plus_1|우리는 전쟁에서 이길 확률이 높다
str_war_report_plus_2|일이 꽤 잘되고있다
str_war_report_plus_3|우리는 그들을 물리 치는 데 어려움이 없어야한다
str_war_report_plus_4|우리는 전쟁에서이기려고한다
str_persuasion_summary_very_bad|귀하는 {s50}을 설득하기 위해 최선을 다하지만 귀하의 주장 중 어느 것도 효과적이지 않습니다. 당신이 이해하기 시작할 때마다, 당신은 완전히 틀린 말을해서 당신을 방해합니다. 말하기가 끝날 무렵 당신은 자신의 호의에 따라 하나의 일관된 요점을 형성하지 못했으며, 당신이 한 모든 일은 자신을 더 깊이 파고 드는 것을 깨달았습니다. 놀랍게도 {s50}은 감동을받지 않습니다.
str_persuasion_summary_bad|{s50}을 설득하려고하지만 {reg51? she : he}는 처음부터 당신을 능가합니다. 당신의 최고의 주장조차도 당신의 귀에는 속이 빈틈없이 들립니다. {s50}은 분명히 당신의 말에 대해 매우 높은 의견을 형성하지 않았습니다.
str_persuasion_summary_average|{s50}은 예리한 마음을 가진 숙련 된 연사로 밝혀졌으며, {reg51? she : he}가 유효한 포인트를 반박 할 수 없다는 주장을 제기 할 수없는 것 같습니다. 결국, 어느 쪽도 토론에서 근거를 얻지 못합니다.
str_persuasion_summary_good|빠른 사고와 원활한 토론을 통해 사례를 잘 설명하고 {s50}이 (가) 여러 가지 점을 인정하도록 강요합니다. 그러나 {reg51? she : he}는 여전히 귀하의 요청이 유효한지 의심합니다.
str_persuasion_summary_very_good|당신은 청중에게시와 같은 반향을 불러 일으키는 연설을 전달합니다. 세상은 더 잘 들리도록 조용히있는 것 같습니다. 당신의 영감을주는 단어는 {s50} 깊게 움직였으며, {reg51? she : he}는 당신을 돕기 위해 더 잘 배치되어 있습니다.
str_secret_sign_1|자정에 무장 한 춤
str_secret_sign_2|나는이 훌륭한 D' Shar 태피스트리를 판매하고 있습니다. 좀 사시겠습니까?
str_secret_sign_3|친구의 친구가 저를 보냈습니다 ...
str_secret_sign_4|동쪽에서 바람이 불고 강이 붉게 흐릅니다.
str_countersign_1|그러나 그는 드레서 나 촛대를 위해 춤을 추나요?
str_countersign_2|예, 파란색이 있습니까?
str_countersign_3|그러나 친구, 친구의 친구는 나와 같은 친구를 가지지 않을 것입니다.
str_countersign_4|아프 셨나요?
str_name_1|알바 드
str_name_2|유스 칼
str_name_3|시그마
str_name_4|탈레스 케
str_name_5|리트만
str_name_6|아 엘스
str_name_7|라우 크
str_name_8|브라가 무스
str_name_9|타를
str_name_10|라민
str_name_11|셜크
str_name_12|푸타
str_name_13|타 무스
str_name_14|리차드
str_name_15|발 키아
str_name_16|룰크
str_name_17|말 런드
str_name_18|Auguryn
str_name_19|데이 나드
str_name_20|호 야야
str_name_21|라마르
str_name_22|칼 다란
str_name_23|브라 바스
str_name_24|쿤 드린
str_name_25|보리스
str_name_26|토마스
str_name_27|아스트리드
str_name_28|앵거스
str_name_29|탈
str_name_30|바락
str_name_31|하라 드
str_name_32|에레 가스
str_name_33|볼더
str_name_34|안센
str_name_35|펠 마르
str_name_36|해리스
str_name_37|트레 바 니르
str_name_38|로스 본
str_name_39|라스 모어
str_name_40|타 니스
str_name_41|석공
str_name_42|야누스
str_name_43|덴턴
str_name_44|할
str_name_45|테 사르
str_name_46|길드로 이크
str_name_47|보먼
str_name_48|로렌
str_name_49|사무 엘크
str_name_50|윌리엄
str_name_51|다 투바 야
str_name_52|쿠루
str_name_53|Thuxra
str_name_54|바하 우카
str_name_55|에단
str_name_56|블 레드 로스
str_name_57|브리타 엘
str_name_58|싱거
str_name_59|그리 피드
str_name_60|구르 보두
str_name_61|우디 칼
str_name_62|로이
str_name_63|머민
str_name_64|마니 드
str_name_65|보르 샤
str_name_66|모카 나
str_name_67|오스
str_name_68|푸트 라엘
str_name_69|레스 멘
str_name_70|탈렌
str_name_71|가이 본
str_name_73|하몬드
str_name_74|울리스
str_name_75|랍
str_name_76|베르니
str_name_77|펭 레브
str_name_78|보리스
str_name_79|보르
str_name_80|아서
str_name_81|고요한
str_name_82|브라기
str_name_83|오슬 린
str_name_84|바란
str_name_85|바렉
str_name_86|다한
str_surname_1|라 리아의 {s50}
str_surname_2|Sarleon의 {s50}
str_surname_3|Cez의 {s50}
str_surname_4|어벤저의 {s50}
str_surname_5|Senderfall의 {s50}
str_surname_6|말레 온스의 {s50}
str_surname_7|포인스 브루 크의 {s50}
str_surname_8|까마귀의 {s50}
str_surname_9|토르 바의 {s50}
str_surname_10|발론 브레이의 {s50}
str_surname_11|윈드 홀름의 {s50}
str_surname_12|자를 스 홀름의 {s50}
str_surname_13|레인의 {s50}
str_surname_14|Tharn의 {s50}
str_surname_15|{s50} 레드
str_surname_16|{s50} 그림자 술사
str_surname_17|{s50} 그림자
str_surname_18|롱 샨크
str_surname_19|바클레이의 {s50}
str_surname_20|토 사르의 {s50}
str_surname_21|{s50} 긴
str_surname_22|건틀 {s50}
str_surname_23|{s50} 실키 비어드
str_surname_24|참새 {s50}
str_surname_25|The Pauper {s50}
str_surname_26|흉터 {s50}
str_surname_27|{s50} 박람회
str_surname_28|죽음의 {s50}
str_surname_29|{s50} 레드
str_surname_30|{s50} 블랙
str_surname_31|키가 {s50}
str_surname_32|{s50} 별 눈
str_surname_33|두려움없는 {s50}
str_surname_34|용맹 한 {s50}
str_surname_35|교활한 {s50}
str_surname_36|겁쟁이 {s50}
str_surname_37|{s50} 밝음
str_surname_38|{s50} 퀵
str_surname_39|음탕 한 {s50}
str_surname_40|{s50} 굵은 글씨
str_surname_41|{s50} 그 라바나
str_surname_42|{s50} Oakenshield
str_surname_43|{s50} 클로 비어
str_surname_44|{s50} 호 리안
str_surname_45|{s50} Tredecer
str_surname_46|{s50} 울프가
str_surname_47|{s50} 텐다
str_surname_48|{s50} 펜 랜드
str_surname_49|라벤나 드
str_surname_50|{s50} 아벤 무어
str_surname_51|Sensil {s50}
str_surname_53|사우스 브리지
str_surname_54|노스 브리지
str_surname_55|{s50} 시스 트롬
str_surname_56|{s50} 폭스 워스
str_surname_57|그레 샴
str_surname_58|우드 라크
str_surname_59|스피어 드란
str_surname_60|{s50} 에반 소드
str_surnames_end|성 끝
str_number_of_troops_killed_reg1|사망 한 부대 수 : {reg1}
str_number_of_troops_wounded_reg1|부상당한 병력 수 : {reg1}
str_number_of_own_troops_killed_reg1|아군 병력 수 : {reg1}
str_number_of_own_troops_wounded_reg1|부상당한 아군 병력 : {reg1}
str_retreat|후퇴!
str_siege_continues|싸움은 계속된다 ...
str_casualty_display|사상자 : {s10} ^ 적군 사상자 : {s11} {s12}
str_casualty_display_hp|^ {reg1} 적중 점수로 부상을 입었습니다.
str_quest_log_updated|퀘스트 로그가 업데이트되었습니다 ...
str_banner_selection_text|귀하는 배너를 소지 할 권리가 부여되었습니다. 귀하의 배너는 귀족의 귀족으로서 귀하의 지위를 나타내며 귀하를 영예 롭게 만듭니다. 어떤 배너를 선택 하시겠습니까?
str_retirement_text_1|당신은 펜 도르의 전투에 지 쳤고, 당신의 오래된 상처는 요즘 당신을 괴롭 힙니다. 당신은 젊음의 군대와 장비에 너무 많은 돈을 썼지 만 오랫동안 갑옷과 무기를 팔아서 거의 무일푼 상태였습니다. 친근한 {s9} 군주의 자선 덕분에 마구간 청소와 안뜰 청소가 가능합니다. 당신은 여전히 기억이 있지만, 당신의 영광의 날은 끝났고 더 이상 말하지 않습니다. 잃어버린 대의를 위해 싸우는 그 모든 년에 대한 충분한 보상. 한때 군인 이었을지도 모르는 반쯤 부서진 마구간의 욕구에 아무도 관심을 갖지 않기 때문에 당신은 그것들을 자신에게 보관합니다.
str_retirement_text_2|당신은 항상 오늘 살았고 내일은 거의 생각하지 않았습니다. 당신의 돈이 다 떨어지면 당신은 저급 무법자로 레드 형제단에 합류했으며 이제는 당신이 한때 갤리에 판매 한 사람들을 위해 심부름을합니다. 때때로 당신은 당신의 현재 삶의 아이러니에 비참하게 반성을합니다. 당신이 지금 당신이 방어하는 사람들을 강탈하고 있음을 깨달았을 때, 당신의 한 번의 이상은 사라졌습니다. 범죄와 잔인한 삶에 더 깊이 빠져들게됩니다. 당신의 삶은 살인을위한 교수대에서 끝나고 {s9} 행맨이 목에 올가미를 조여주면서 당신은 웃습니다.
str_retirement_text_3|당신은 여전히 전날의 매너리즘을 유지하지만 {s13}로서 당신의 시절로부터 상당히 내려 왔습니다. 당신의 군대는 전투에서 버려 졌거나 죽었습니다. 당신은 술집에서 선술집으로 술을 마시고 표류하며, 이전의 성공에 대한 이야기를 기꺼이 들으려는 모든 사람들을 지루하게하며, 후원자로부터 음료를 마신다. 가끔 누군가가 당신을 인식하지만, 당신의 과거의 명성은 당신이 한때를 기억하는 친절한 사람의 무료 음료에만 좋습니다.
