qstr_Next_Page|다음 페이지
qstr_{s4}_s_achievements_|모험의 {reg5} 일 후 {s4}의 업적 (하루에 한 번 확인).
qstr_Deathbringer|죽음을 부르는 사람
qstr__killed_{reg0}_enemi|(한 번의 전투에서 {reg0} 명의 적 처치)
qstr_Masterful_Warrior|마스터 워리어
qstr__{reg0}_enemies_kill|({reg0} 적 사망 또는 부상)
qstr_Legendary_Warrior|전설의 전사
qstr_Battle_Master|배틀 마스터
qstr__won_{reg0}_victorie|(승 {reg0} 승리)
qstr_Great_General|대장군
qstr_Defender_of_Pendor|펜 도르의 수비수
qstr__defeated_{reg0}_her|({reg0} 영웅 처치)
qstr_Guardian_of_Pendor|펜 도르의 수호자
qstr_Bane_of_Vejovis|베조 비스의 바람개비
qstr__wiped_out_a_Mystmou|(미스트 마운틴 군대를 멸망 시켰습니다)
qstr_Cult_Banisher|컬트 추방자
qstr__wiped_out_a_Snake_C|(스네이크 컬트 군대를 없)습니다)
qstr_Scourge_of_Jatu|Jatu의 스컬지
qstr__wiped_out_a_Jatu_ar|(자 투족 군대를 쫓아 내다)
qstr_Purger_of_Heresy|이단의 정화
qstr__wiped_out_a_Heretic|(이단 군대를 없)습니다)
qstr_Arena_Survivor|아레나 생존자
qstr__won_in_{reg0}_tourn|({reg0} 토너먼트에서 우승)
qstr_Tournament_Champion|토너먼트 챔피언
qstr_{reg63?Hero:Heroine}|Pendor의 {reg63? Hero : Heroine}
qstr__gained_{reg0}_renow|({reg0} 명성을 얻음)
qstr_{reg63?Lion:Lioness}|Pendor의 {reg63? Lion : Lioness}
qstr_Chevalier_of_Pendor|펜 도르의 슈발리에
qstr__gained_{reg0}_honor|({reg0} 명예를 얻음)
qstr_Rogue_{reg63?King:Qu|불량 {reg63? King : Queen}
qstr__declared_a_sovereig|(주권국으로 선언)
qstr_Great_Persuader|위대한 설득자
qstr__persuaded_{reg0}_lo|({reg0} 군주가 왕국에 가입하도록 설득했다)
qstr_Master_Builder|마스터 빌더
qstr__built_{reg0}_improv|(빌드 {reg0} 개선)
qstr_Competent_Aide|유능한 보좌관
qstr__completed_{reg0}_qu|({reg0} 퀘스트 완료)
qstr_Epitome_of_Ineptitud|부적합의 에피 톰
qstr__failed_{reg0}_quest|({reg0} 퀘스트 실패)
qstr_Slippery_Fellow|미끄러운 동료
qstr__captured_{reg0}_tim|({reg0} 번 캡처 됨)
qstr_Caravan_Marauder|캐러밴 머 로더
qstr__raided_{reg0}_carav|({reg0} 캐러밴을 습격했습니다)
qstr_Village_Plunderer|마을 약탈자
qstr__raided_{reg0}_villa|({reg0} 마을을 습격했습니다)
qstr_Blatant_Deceiver|뻔뻔스러운 사기꾼
qstr__cheated_in_battle_|(전투 속임수)
qstr_Order_Grandmaster|그랜드 마스터 주문
qstr__became_a_leader_of_|(기사단의 지도자가 됨)
qstr_More.|더.
qstr_Back.|뒤.
qstr_You_have_been_awarde|업적을 수상하셨습니다!
qstr_Continue.|계속하다.
qstr_A_Knighthood_Order_c|Knighthood Order 챕터 하우스 설립
qstr_{s11}_of_the_{s12}_h|{s12}의 {s11}이 {s14}에서 {s13} 명령의 챕터 하우스를 설립했습니다.
qstr_Pendor_:__Conquered_|펜 도르 : {s11}에 의해 정복
qstr_The_{s11}_has_defeat|{s11}은 모든 라이벌을 물리 쳤으며 유일한 왕국입니다. Madigan의 예언이 성취되었습니다! ^^ 대체 확률이 만들어졌습니다.
qstr_Pendor_:__Conquered_b|펜 도르 : 한 왕국에 의해 정복
qstr_{s11}_has_defeated_a|{s11}은 모든 라이벌을 물리 쳤으며 유일한 왕국입니다. Madigan의 예언이 성취되었습니다! ^^ 대체 확률이 만들어졌습니다.
qstr_Factions|진영
qstr_Show_towns|도시 표시
qstr_Show_castles|성을 표시
qstr_Show_villages|마을보기
qstr_Tip:_move_the_mouse_|팁 : 마우스를 검은 색 블록으로 이동하여 이름을 표시하십시오.
qstr_The_World_Map|세계지도
qstr_Done|끝난
qstr_P_o_P___O_p_t_i_o_n_|PO PO 포션
qstr_Scroll_down_for_more|더 많은 옵션을 보려면 아래로 스크롤
qstr_Battle_options|전투 옵션
qstr_Battlefield_size_|전장 크기
qstr_840x840m|840x840m
qstr_550x550m|550x550m
qstr_240x240m|240x240m
qstr_Adaptive|적응
qstr_Battle_reinforcement|전투 강화 파
qstr_Unlimited|제한 없는
qstr_18|18
qstr_16|16
qstr_14|14
qstr_12|12
qstr_10|10
qstr_8|8
qstr_6|6
qstr_4|4
qstr_2|2
qstr_Siege_reinforcement_|공성 강화 파
qstr_36|36
qstr_32|32
qstr_28|28
qstr_24|24
qstr_20|20
qstr_Enhanced_horse_arche|향상된 말 궁수 AI
qstr_Disabled|비활성화
qstr_NPCs_only|NPC 만
qstr_All_units|모든 단위
qstr_Garrison_left_by_AI_|인공 지능이 남긴 개리슨
qstr_Large__default_|크게 (기본값)
qstr_Medium|매질
qstr_Small|작은
qstr_Disable_troop_routin|부대 라우팅 비활성화
qstr_Enable_Formations_|대형 사용
qstr_Battle_interface|전투 인터페이스
qstr_Show_personal_kill_c|개인 킬 수 표시
qstr_Battle_ratio_bar_|전투 비율 표시 줄
qstr_shows_proportion_of_|양쪽에 살아있는 군인의 비율을 보여줍니다
qstr_Ratio_bar_shows_rese|비율 막대는 예비군도 표시합니다
qstr_reports_global_battl|강화군을 포함한 전 세계 전투 부대
qstr_Display_a_message_on|동맹 사망에 대한 메시지 표시
qstr_best_with__report_ca|'피해자보고'가 해제 된 상태에서 최고
qstr_Display_a_message_on_|플레이어 처치시 메시지 표시
qstr_Custom_Knighthood_Or|커스텀 기사단 순서
qstr_Chance_of_stats_upgr|18 시간 교육 세션 동안 통계 향상 확률
qstr_1.5%|1.5 %
qstr_2%|2 %
qstr_3%__Default_|3 %  (기본)
qstr_4%|4 %
qstr_5.5%|5.5 %
qstr_7.5%|7.5 %
qstr_10%|10 %
qstr_13%|13 %
qstr_17%|17 %
qstr_25%|25 %
qstr_50%|50 %
qstr_Equipment_cost_|장비 비용
qstr_200%|200 %
qstr_150%|150 %
qstr_120%|120 %
qstr_110%|110 %
qstr_100%__Default_|100 %  (기본)
qstr__90%|90 %
qstr__80%|80 %
qstr__60%|60 %
qstr__40%|40 %
qstr__20%|20 %
qstr__10%|10 %
qstr_Equipping_time_|장착 시간
qstr_Miscellaneous|여러 가지 잡다한
qstr_Fade_from_black_|블랙 페이드
qstr_when_entering_a_room|방에 들어갈 때
qstr_Lords_don_t_bring_fi|플레이어와 합류 할 때 군주가 불화를 가져 오지 않습니다
qstr_No_auto_defections_|자동 결함 없음
qstr_Village_requests_in_|알림에서만 마을 요청
qstr_Village_attacks_in_n|알림에서만 마을 공격
qstr_Important_news_only_|중요한 소식 만
qstr_Play_companion_dialo|동반자 대화 재생
qstr_Reinforcement_waves_|일반 전투를위한 강화 파가 {reg0}으로 설정되었습니다.
qstr_Reinforcement_waves_f|공성전을위한 강화 파가 {reg0}으로 설정되었습니다.
qstr_Others|기타
qstr_KOs_Knights|KOs 기사
qstr_KOs_Sergeants|KOs 상사
qstr_Mercenaries|용병
qstr_Adventurers|모험가
qstr_Kingdom_of_Pendor|펜 도르 왕국
qstr_Close|닫기
qstr_Click_the_avatars_to|아바타를 클릭하면 세부 정보를 볼 수 있습니다
qstr_Level:_{reg3}^Health|레벨 : {reg3} ^ 건강 : {reg4}
qstr_Attributes|속성
qstr_STR^AGI^INT^CHA|STR ^ AGI ^ INT ^ CHA
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1} ^ {reg2}
qstr_Skills|기술
qstr_Ironflesh^Power_Stri|Ironflesh ^ 파업 타격 ^ 파워 던지기 ^ 파워 드로우 ^ 방패 ^ 아틀레틱 ^ 승마 ^ 말 양궁
qstr_Proficiencies|실력
qstr_1H_Weapons^2H_Weapon|1H 무기 ^ 2H 무기 ^ Polearms ^ Archery ^ Crossbows ^ Throwing ^ Firearms
qstr_Equipment|장비
qstr_0_kills|0 명
qstr_{reg3}_kill|{reg3} 킬
qstr_{reg3}_kills|{reg3} 처치
qstr_{s1}_of_the_{s3}_was|전투에서 {s3}의 {s1}이 (가) 패배했지만 탈출했습니다.
qstr_The_{s2}_have_sacked|{s2}가 {s1}을 해킹했습니다.
qstr_{s54}_is_a_claimant_|{s54}는 {s56}의 왕좌에 대한 청구자입니다.
qstr_no_holdings|홀딩스 없음
qstr_{s57}_and_{s58}|{s57} 및 {s58}
qstr_{reg3?She:He}|{reg3? 그녀 : 그는}
qstr_The_town_of_{s50}|{s50}의 도시
qstr_The_village_of_{s50}|{s52} 근처의 {s50} 마을
qstr_{s51}_belongs_to_{s1|{s51}은 {s2}의 {s1}에 속합니다. ^
qstr_{s2}There_is_a_chapt|{s2} 여기에 {s1}의 챕터 하우스가 있습니다. ^
qstr_{s2}Garrison_trainin|{s2} 주둔지 훈련이 가능합니다. ^
qstr_{s2}Garrison_training|{s2} 주둔지 훈련이 비활성화되었습니다. ^
qstr_{s7}_and_{s8}|{s7} 및 {s8}
qstr_{s2}It_has_no_villag|{s2} 마을이 없습니다. ^
qstr_{s2}{reg0?Its_villag|{s2} {reg0? 마을은 (는) {s8}입니다. ^
qstr_{s2}Its_prosperity_i|{s2} 번영은 {s50}입니다.
qstr_noone|아무도
qstr_{s9}_and_{s10}|{s9} 및 {s10}
qstr_{s5}_has_been_defeat|{s5}가 패배했습니다!
qstr_{s7}_opened_the_gate|{s7}이 문을 열었습니다
qstr_{s7}_closed_the_gate|{s7}이 문을 닫았습니다.
qstr_+{reg1}_to_party_mor|+ {reg1}, 사기 사기
qstr_Requires_{reg1}_inte|읽으려면 {reg1} 지능이 필요합니다
qstr_Reading_Progress:_{r|읽기 진행률 : {reg1} %
qstr_Improves_Noldor_rela|Noldor 관계 개선
qstr_Quest_item|퀘스트 아이템
qstr_wound_treatment|상처 치료
qstr_trainer|훈련자
qstr_surgery|외과
qstr_+2_to_{s1}_while_in_|인벤토리에있는 동안 +2에서 {s1}
qstr_+1_to_{s1}_while_in_|인벤토리에있는 동안 +1에서 {s1}
qstr__interesting_to_Orde|(주문에 흥미있는)
qstr_Missile_speed:_{reg3|미사일 속도 : {reg33}
qstr_Upgrade_cost:_{reg0}|업그레이드 비용 : {reg0}
qstr_Time_to_upgrade:_{re|업그레이드 시간 : {reg1} 일
qstr_Move_here|여기로와
qstr_View_notes|메모보기
qstr_Unstick_from_River|강에서 풀리다
qstr_Accompany|동반하다
qstr_Party_strength:_{reg|파티 강도 : {reg0}
qstr_Party_no:_{reg0}|파티 번호 : {reg0}
qstr_killed|살해
qstr_wounded|다친
qstr_{s0}^TOTAL:_{reg3}__|{s0} ^ 총계 : {reg3} ({s2})
qstr_^None|^ 없음
qstr_nothing|아무것도
qstr_{reg0}_village{reg1?|{reg0} 마을 {reg1? s :}
qstr_{reg0}_castle{reg1?s|{reg0} 성 {reg1? s :}
qstr_{reg0}_castle{reg1?s:|{reg0} 성 {reg1? s :} 및 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} 도시 {reg1? s :}
qstr_{reg0}_town{reg1?s:}_|{reg0} 도시 {reg1? s :} 및 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} 도시 {reg1? s :}, {s0}
qstr_Your_opponents_are_r|상대방은 전투 준비가 완료되었습니다.
qstr_Try_to_destroy_as_ma|가능한 많은 대상을 파괴하십시오. 트랙을 지우는 데 2 분 반이 있습니다.
qstr_Stay_behind_the_line|지면에 줄을 서서 목표물을 쏴라. 샷을 낭비하지 마십시오.
qstr_Battle_Advantage_=_{|배틀 어드밴티지 = {reg0}.
qstr_{s9}_wants_you_to_re|{s9}는 추후 공지가있을 때까지 군대를 따라 가기를 원합니다.
qstr_{s0}_fails_to_bring_|{s0}이 (가) 당신의 진영에 센터를 가져 오지 못했습니다!
qstr_{s4}_is_awarded_to_{|{s4}는 {s6}의 {s5}에 수여됩니다.
qstr_From_now_{s4}_belong|이제 {s4}는 {s6}의 {s5}에 속합니다.
qstr__Word_reaches_you_th|Meregan Kierlic이 Ulric 왕의 깃발 아래 Griffonsword Adventuring Company를 모았다는 소식이 전합니다!
qstr__Word_reaches_you_tha|코단 아이언 소드가 귀족과 기사를 모으고 울 리치 왕에 합류했다는 소식이 전합니다!
qstr__Word_reaches_you_that|Sarleon의 Ulric 왕이 자유 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_|Sarleon의 Ulric 왕이 Mettenheim 용병 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_Sy|유명한 제국의 불멸 전사 인 실라 우자 (Syla Uzas)가 작은 베테랑 군단병을 모아 울리 크 왕에 합류했습니다!
qstr__Word_reaches_you_that_K|Sarleon의 Ulric 왕이 Veccavi 용병 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Ki|Sarleon의 Ulric 왕이 Freybrueder를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Kin|Sarleon의 Ulric 왕이 Veccavi Renegades를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King|Sarleon의 Ulric 왕이 Primera Guardia Real을 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_|Sarleon의 Ulric 왕이 Sarno 원정대를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_U|Sarleon의 Ulric 왕이 Marleons의 첫 번째 배너를 사용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_Ul|Sarleon의 Ulric 왕이 Snowlion 여단을 고용했다는 소식이 전합니다!
qstr__Word_reaches_you_that_King_Ulr|Sarleon의 Ulric 왕이 Unicorn Knight 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_Ulri|Sarleon의 Ulric 왕이 용병 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_O|Oswald de Fleur가 그의 모든 모험 회사를 모아 그레고리 왕 IV에 합류했습니다.
qstr__Word_reaches_you_that_B|Boris the Raven이 Raven Spear Knights의 회사를 모으고 Gregory IV 왕과 합류했음을 알려드립니다!
qstr__Word_reaches_you_that_Ko|코단 아이언 소드가 귀족과 기사를 모으고 그레고리 왕 IV에 합류했습니다.
qstr__Word_reaches_you_that_King_G|Ravenstern의 Gregory IV 왕이 자유 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_Gr|Ravenstern의 Gregory IV 왕이 여러 개의 Vanskerry Jarls를 용병 회사로 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_Gre|Ravenstern의 Gregory IV 왕이 Freybrueder를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_Greg|Ravenstern의 Gregory IV 왕이 Veccavi Renegades를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_Grego|Ravenstern의 Gregory IV 왕이 Primera Guardia Real을 고용했습니다.
qstr__Word_reaches_you_that_King_Gregor|Ravenstern의 Gregory IV 왕이 Sarno 원정대를 고용했다는 소식이 전합니다.
qstr__Word_reaches_you_that_King_Gregory|Ravenstern의 Gregory IV 왕이 Unicorn Knight 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_King_Gregory_|Ravenstern의 Gregory IV 왕이 용병 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Bu|Usurper Burilgi가 군대를 모아서 Kadan Bahadur Khan을 위해 싸운다는 말이 나옵니다!
qstr__Word_reaches_you_that_Ka|Kadan Bahadur Khan이 Free Company를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Kad|Kadan Bahadur Khan이 Mettenheim 용병 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_Syl|유명한 제국의 불멸 전사 인 실라 우자 (Syla Uzas)가 작은 베테랑 군단병을 모아 카단 바하 두르 칸에 합류했습니다!
qstr__Word_reaches_you_that_Kada|Kadan Bahadur Khan이 여러 개의 Vanskerry Jarls를 용병 회사로 고용했습니다.
qstr__Word_reaches_you_that_Kadan|Kadan Bahadur Khan이 Jatu Warlords를 용병 회사로 고용했습니다.
qstr__Word_reaches_you_that_Kadan_|Kadan Bahadur Khan이 Freybrueder를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Kadan_B|Kadan Bahadur Khan이 Veccavi Renegades를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Kadan_Ba|Kadan Bahadur Khan이 Primera Guardia Real을 고용했습니다.
qstr__Word_reaches_you_that_Kadan_Bah|카단 바하 두르 칸이 사 르노 원정대를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Kadan_Baha|Kadan Bahadur Khan이 Singalian Slaver 회사를 고용했습니다.
qstr__Word_reaches_you_that_Kadan_Bahad|Kadan Bahadur Khan이 선택한 Indar를 고용했다는 소식이 전합니다.
qstr__Word_reaches_you_that_Kadan_Bahadu|Kadan Bahadur Khan이 Singalian Mercenary Company를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Bur|Usurper Burilgi가 군대를 모아서 Koningur Valdis를 위해 싸운다는 말이 나옵니다!
qstr__Word_reaches_you_that_M|Meregan Kierlic이 Koningur Valdis의 기치 아래 Griffonsword Adventuring Company를 만들었습니다.
qstr__Word_reaches_you_that_Kon|Koningur Valdis가 Mettenheim Mercenary Company를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Koni|Koningur Valdis가 자유 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Konin|Koningur Valdis가 Veccavi 용병 회사를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Koning|Koningur Valdis가 Jatu Warlords를 용병 회사로 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Koningu|Koningur Valdis가 Barclay Conquistadores 회사를 고용했음을 알려드립니다
qstr__Word_reaches_you_that_Koningur|Koningur Valdis가 Freybrueder를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Koningur_|Koningur Valdis가 Veccavi Renegades를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Koningur_V|Koningur Valdis가 Primera Guardia Real을 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Koningur_Va|코닝 구르 발디스가 사 르노 원정대를 고용했다는 소식이 전합니다!
qstr__Word_reaches_you_that_Koningur_Val|Koningur Valdis가 선택한 Indar를 고용했다는 소식이 전합니다.
qstr__Word_reaches_you_that_Koningur_Vald|Koningur Valdis가 여러 개의 Vanskerry Jarls를 용병 회사로 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Os|Oswald de Fleur가 그의 Adventuring Companies를 모두 모아 Marius Imperator에 합류했다는 소식을 전합니다.
qstr__Word_reaches_you_that_Bo|Boris the Raven이 Raven Spear Knights 회사를 모아 Marius Imperator에 합류했다는 소식이 전합니다.
qstr_Word_reaches_you_tha|Marius Imperator가 Barclay Conquistadores를 용병 회사로 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Kod|코단 아이언 소드가 귀족과 기사를 모아 Marius Imperator에 합류했다는 소식이 전합니다!
qstr__Word_reaches_you_that_Ma|Marius Imperator가 Free Company를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_S|Sheik Shalavan이 사막 전사들을 연합 시켰으며 이제 Marius Imperator의 깃발 아래서 싸운다는 말이 전합니다!
qstr_Word_reaches_you_that|Marius Imperator가 Jatu Warlords를 용병 회사로 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Mar|Marius Imperator가 Freybrueder를 고용했음을 알려드립니다!
qstr__Word_reaches_you_that_Mari|Marius Imperator가 Veccavi Renegades를 고용했습니다.
qstr__Word_reaches_you_that_Mariu|Marius Imperator가 Primera Guardia Real!
qstr__Word_reaches_you_that_Marius|Marius Imperator가 Sarno Expedition을 고용했다는 소식이 전합니다.
qstr__Word_reaches_you_that_Marius_|Marius Imperator가 Indar의 선택을 사용했음을 알려드립니다!
qstr_Word_reaches_you_that_|Marius Imperator가 용병 회사를 고용했음을 알려드립니다!
qstr_{s1}_Merchant_Carava|{s1} 판매자 캐러밴
qstr__Being_Raided_|(건배 됨)
qstr__Looted_|(루프)
qstr__Under_Siege_|(공성 중)
qstr_The_village_of_{s1}_|{s1} 마을이 {s2}에 의해 약탈되었습니다.
qstr_{s3}_is_no_longer_un|{s3}은 (는) 더 이상 포위 공격을받지 않습니다.
qstr_Small_bands_of_enemi|{s1} 근처에서 적은 양의 적을 발견했습니다.
qstr_Enemy_patrols_spotte|적의 순찰이 {s1} 근처에서 발견되었습니다.
qstr_Medium_sized_group_o|{s1} 근처에서 중간 크기의 적군이 발견되었습니다.
qstr_Significant_group_of|{s1} 근처에서 상당수의 적군이 발견되었습니다.
qstr_Army_of_enemies_spot|적군이 {s1} 근처에서 발견되었습니다.
qstr_Large_army_of_enemie|{s1} 근처에서 큰 적군이 발견되었습니다.
qstr_Great_host_of_enemie|{s1} 근처에서 많은 적들이 발견되었습니다.
qstr_{s1}_has_been_besieg|{s1}이 (가) {s3}의 {s2}에 의해 포위되었습니다.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11} : {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1}은 {s2}의 새로운 마샬입니다.
qstr_You_gained_{reg12}_r|{reg12}의 명성을 얻었습니다.
qstr_You_lose_{reg12}_ren|{reg12}의 명성을 잃습니다.
qstr_Your_relation_with_{|{s1}과의 관계가 향상되었습니다.
qstr_Your_relation_with_{s|{s1}과의 관계가 악화되었습니다.
qstr_You_have_broken_the_|용병 계약을 어겼습니다.
qstr_You_gain_honor.|당신은 명예를 얻습니다.
qstr_You_lose_honor.|당신은 명예를 잃습니다.
qstr_The_{s1}_declared_wa|{s1}은 {s2}와의 전쟁을 선포했습니다.
qstr_The_{s1}_and_the_{s2|{s1}과 {s2}는 서로 평화를 이루었습니다.
qstr_{s2}_{reg3?was:is_cu|{s2}에서 {s2} {reg3? was : is는 현재}입니다.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3? was : is}가 {s3}으로 여행하고 {reg4? she : he} {reg3? was : {}} {s4} {reg3 ?: 현재}에 가깝습니다.
qstr_{s2}_{reg3?was:is}_i|필드에 {s2} {reg3? was : is}가 있고 {reg4? she : he} {reg3? was :}는 {s3} {reg3 ?: 현재}에 가깝습니다.
qstr_{s2}_{reg3?was:is}_b|{s3}에서 {s2} {reg3? was : is}를 사로 잡았습니다.
qstr_{s2}_{reg3?was:has_b|{reg2? 그녀의} 적들에게 {s2} {reg3? was :}이 사로 잡혔습니다.
qstr_{reg3?{s2}_s_locatio|{reg3? {s2}의 위치를 알 수 없음 : {s2}가 어디에 있는지 모르겠습니다.}
qstr_{s6}_has_joined_your|{s6} 님이 파티에 가입했습니다.
qstr_You_now_owe_{reg2}_d|이제 {reg1} 디나르에게 {s1}의 빚이 있습니다.
qstr_Renown_value_for_thi|이 전투의 명성은 {reg8}입니다.
qstr_You_have_run_into_a_|함정에 빠졌습니다!
qstr_You_are_attacked_by_|당신은 산적 그룹에 의해 공격을받습니다!
qstr_Holding|보유
qstr_Following|수행원
qstr_Charging|충전 중
qstr_Advancing|발전
qstr_Falling_Back|넘어짐
qstr_Standing_Closer|가까이 서
qstr_Spreading_Out|퍼지다
qstr_Standing|서 있는
qstr_N/A|해당 없음
qstr_Free|비어 있는
qstr_Any_Weapon|모든 무기
qstr_Blunt_Weapons|무딘 무기
qstr_{s1}_Farmers|{s1} 농민
qstr_{s1}_Rebels|{s1} 반란군
qstr_Given_by:_{s62}|제공 : {s62}
qstr_Given_on:_{s60}|주어진 : {s60}
qstr_You_have_{reg0}_days|이 퀘스트를 완료하는 데 {reg0} 일이 있습니다.
qstr_This_quest_has_been_|이 퀘스트는 종료되었습니다. {s59}와 대화하여 완료하십시오.
