ip_reference_buildings|참조 : 건물
ip_politics_text|펜 도르의 영역은 서로 다른 문화를 대표하지만 모두 동일한 기본 정치 시스템 인 봉건주의를 고수합니다. 봉건주의는 개인 간의 관계를 기반으로합니다. 이 맹세와 대가로, 뱃살은 일반적으로 전쟁 중에 맹세를 지원하기 위해 군대를 키우기 위해 틈새에 의해 수입이 사용될 소포 인 소포를 받게됩니다. 리에 주도 자신의 허혈을 보호하고 정당하게 대해야 할 의무가 있습니다. ^^ 이것이 이론 상으로는 어떻게 작동하는지입니다. 실제로, 신은 항상 파벌의 관심사에 작용하지는 않습니다. 특히 그들이 종종 서로 다툼을하기 때문입니다. 귀족은 다른 성격을 가지고 있으며 때로는 그 성격이 충돌합니다. 아니면, 두 귀족은 한때 친구 였을 수도 있지만, 좌절이나 패배의 여파로 넘어 졌거나 둘 다 같은 여자를 쫓고 있었기 때문에 넘어졌습니다. 질투심은 왕의 호의를 얻기 위해 경쟁 할 때도있을 것이다. 아마도 새로 정복 된 땅이나 대규모 캠페인을 조직하는 주관 인 마샬 사무국을 맡게 될 사람에 대해 말이다. ^^ 펜 도어는 다른 나라와 전쟁을 벌이는데, 각 왕국의 정치적 통일성은 그 결과를 결정할 때 병사들의 질이나 수만큼 중요합니다. 응집력있는 왕국에서 귀족들은 적들보다 먼저 상대를 휩쓸 기 위해 큰 힘을 모을 것입니다. 사소한 싸움으로 나뉘어 진 왕국에서는 영주들이 소환장 소환에 응답하지 않거나 캠페인이 잘 진행되지 않으면 자신의 사업에 참석하지 않습니다. 진영의 정치 응집력은 캠페인이 진행되지 않을 때 전쟁에도 영향을 미칩니다. 분열 된 파벌에서 군주들은 공습과 순찰에 함께 참여할 가능성이 적고 서로의 방어에 올 수 있습니다. ^^ 적이 지평선을 넘어서도 귀족이 울부 짖고 싸움을 벌이는 것이 자기 패배 인 것처럼 보일 경우 명심하십시오-궁극적으로, 귀족의 충성은 특정 파벌이나 문화가 아니라 자신과 그의 가족에게갑니다. 귀족이 그의 파벌이 무너지고 있다고 두려워하거나, 그의 대가로 무시당하는 경우, 그는 충성을 맹세를 철회하고 편을 바꿀 이유를 찾을 수 있습니다. 플레이어는 불만을 가진 이전의 적을 동맹국으로 바꿀 기회가있을 수 있으므로이 점을 명심해야합니다.
ip_character_backgrounds|워 밴드 : 캐릭터 배경
ip_character_backgrounds_text|Pendor의 플레이어 캐릭터는 다양한 사회적 배경에서 왔습니다. 이 선택은 자신의 시작 기술과 장비뿐만 아니라 모험가로서의 경력 과정에도 영향을 미칩니다. ^^ 펜 도르의 전쟁과 정치는 전통적으로 남성 귀족들이 지배합니다. 고귀한 선수 캐릭터는 그가이 '오래된 소년 클럽'에 상당히 빨리 초대되었음을 알 수 있지만, 평민은 도중에 몇 가지 추가 장애물에 직면 할 수 있습니다. 게임을 고귀한 것으로 시작하기로 선택한 경우 '쉬운'설정으로 생각할 수 있습니다. 평민으로 시작하는 것이 다소 어렵다 ^^ 그러나 여성에게는 몇 가지 시작 장점이있다. 전통적으로 여성이 남성보다 사회적 사다리와 결혼하는 것이 더 쉽고 여성은 남성보다 전략적 결혼 동맹에서 더 많은 것을 얻을 수 있다는 것을 알게 될 것입니다. ^^ 마지막으로, 게임은 배경에 따라 캐릭터의 상향 이동성을 제한하지 않습니다. 고귀하거나 흔하거나 남성 또는 여성, 결혼 또는 미혼-모든 용맹자가 충분히 용감하거나 운이 좋거나 수완이 있다면 모든 펜 도어의 통치자가 될 수 있습니다.
ip_military_campaigns|워 밴드 : 군사 캠페인
ip_military_campaigns_text|펜 도르의 왕국이 전쟁을 벌일 때, 군대는 두 가지 기본 공격 옵션이 있습니다. 그들은 마을을 공격하고 시골에 쓰레기를 버려 적의 명성과 경제를 해칠 수 있습니다. 또는 영토를 점령하고 성이나 도시를 장악하고 붙잡 으려고 할 수 있습니다.이 두 번째 옵션은 길고 피 묻은 포위를 포함 할 수 있지만 더 결정적인 결과를 얻을 수 있습니다. ^^ 펜 도르의 영역이 서있는 군대를 장악하지는 않습니다. 통치자가 원하는 한 현장에 남아 있습니다. 오히려, Pendorian 영역은 주요 귀족과 그들의 개별적인 영토로 구성된 봉건적 부과에 의해 보호됩니다. 때때로,이 귀족들은 적의 영토에 대한 사적인 공격을 시작하지만, 가장 결정적인 사건은 일반적으로 위대한 호스트가 모일 때 발생합니다. 왕이 임명 한 고귀한 왕국의 마샬은 캠페인 전에 호스트를 소환하여 전투로 이끌 것입니다. 그러나 그는 현장에 너무 오래 두지 않도록주의해야합니다. 그렇지 않으면, 주술사가 자신의 사업을 추구하기 위해 표류하면서 군대가 반격하기 시작하고 군대는 반격에 취약 할 것입니다. ^^ 이런 이유로 펜 도르의 전쟁 리듬은 종종 리듬과 유사합니다. 두 개인 전투원 사이의 결투. 한쪽은 힘을 모아 적의 영토에 타격을가하려고합니다. 마셜이 병신을 모으는 데 너무 적은 시간을 소비하면 실제 피해를 입지 못할 수 있습니다. 그가 너무 많은 시간을 보내면 캠페인이 시작되기 전에 종료 될 수 있습니다. 거만한 전투원이 적은 적보다 우위를 점하는 것처럼 큰 영역은 작은 영역보다 유리합니다. 그러나 체력이 큰 전투기가 상대보다 오래 지속될 수있는 것처럼 영역의 정치적 응집력도 요인이 될 수 있습니다. 때로는 두 영역의 군대가 맞닥 뜨려 숫자와 사기가 결과를 결정하는 주요 전투가 발생합니다. ^^ 왕국은 적에 대한 불완전한 지능을 갖게 될 것입니다. 공격 군은 적의 영토를 자주 정찰하여 취약한 요새를 결정해야합니다. 고국을 지키는 군대는 성곽과 도시에서 발생하는 경보를 통해 지역 내 적의 움직임에 대한 정보를 제공합니다. 그러나 이러한 숫자는 특히 숫자와 관련하여 정확하지 않습니다. 마을을 포위 공격하거나 구출하기 위해 설립 한 방어력은 준비되지 않은 공격자를 압도하거나 잘못 계산하여 압도 당할 수 있음을 발견 할 수 있습니다. 공격자들은 공격적인 마샬이 조심스러운 것보다 더 많이 습격하여 적의 영역으로 얼마나 멀리 진격해야하는지주의해야합니다. ^^ 플레이어는 진영에 합류하거나 앞서 스카우트하여 진영의 군사 캠페인에 참여해야합니다. 적의 영토. 일부 플레이어는 자신의 영역의 마셜이 취향에 비해 너무 신중하거나 너무 공격적이라는 것을 알 수 있습니다. 이 경우 그들은 다른 군주들과 마샬을 교체하거나 마샬 자체가되기위한 지원을하려고 노력할 수 있습니다. ^^ 대부분의 전쟁은 기간이 제한되어 있습니다. 전쟁에가는 왕은 명예를 위해 잠시 동안 갈등을 추구 할 의무를 느낍니다. 그러나 그가 적을 치는 것이 아니라면. 그는 곧 자신이 제 3 자의 공격에 취약 해지지 않도록 갈등에서 벗어날 길을 찾기 시작할 수 있습니다. 펜 도르의 통치자들은 오늘날의 동맹국이 내일의적일 수도 있고 그 반대 일 수도 있다는 것을 잘 알고 있습니다.
ip_pendor_history|펜 도르 : 역사
ip_pendor_history_text|거의 천년 전 ^^ 타이탄 전쟁은 인간의 승천을위한 토대를 마련했습니다. 고대 장로들 사이의 끔찍한 전쟁으로 인해 세상은 마술로 가득 차 버렸고, 웅장한 신화적인 사람들은 한때 강력했지만 민속과 전설의 물건이었습니다. 그 당시부터 남아있는 은둔자 Noldor만이 있었으며, 한때 위대한 도시는 모두 하나를 구해 버렸습니다. ^^ 4 년 전, Pendor의 창립. ^^ 인간의 시대입니다. 이 이야기는 펜 도르의 비옥 한 땅과 사람들, 지도자 및 운명의 투쟁에 중점을 둡니다. 수백 년 전, 한 왕국은 칼과 불로 위조되었습니다. 평화가 유지되었고 번영이 왕국에 와서 번성했습니다. 5 세대의 Pendorian Kings는 Sarleon의 Silver Throne에 앉았으며 거의 2 백 년 동안 그들의 땅과 주제의 운명을 이끌었습니다. ^^ Pendor의 창립-198 년입니다. 사악한 것처럼 신속합니다. 한 달, 삼십 일, 제국은 엉망이되었습니다. 아이러니 한 것은 전투에서 칼이 아니고 왕과 그의 가족을 죽인 암흑 마법이 아니었다는 것입니다. 그러나 보이지 않는 살인자, 질병, 밤에 암살자처럼 땅을 황폐화하고 왕국 사람들을 크고 작게 자르는 붉은 전염병에 의해. ^ 왕실 가족은 죽었고, 통치 할 왕이 없었습니다 땅. 한때 자랑스런 왕국을 은색으로 산산조각 낸 것처럼 보이는 침략과 한때 펜 도르의 왕국이었던 영광은 이제 전설의 물건이었습니다. ^ 왕과 그의 상속자들의 죽음으로 인해 혼란이있었습니다. 여러 군주가 왕위에 대한 주장을 제기했으며 거의 모든 귀족이 계승을 넘어 서기 시작했습니다. ^^ Pendor의 창립-199 년입니다 ^^ 북쪽에서 산악 지파들은 펜 도르의 심장부를 습격하기 시작했습니다. 그들의 성공과 영역의 기사들로부터의 응답이 부족한 것으로 인해, 그들은 더 깊게 쳤고, 이것은 곧 Rane에게 포위 공격을 일으켰습니다. 레인 백작은 그 땅의 귀족들로부터 도움을 구했지만, 강력히 발견 된 이유는 그의 도움을 얻지 못했습니다. 많은 북부 군주들이 함께 모여서 미스트 마운틴 북부 전사들의 공격으로부터 도시를 방어하기 위해 행진하는 작은 군대를 결성했습니다. 전투는 피의 격렬하고 격렬했으며, 결국 포위 공격이 풀리고 바바리안 부족과 주술사 지도자들이 산지로 돌아갔다. 그날 용감하게 싸운 북부 군주들은 도시를 방어하는 용감한 전사들로 구성된 기사단 명령 인 용의 명령을 세우기로 결정했습니다. 이 새로운 명령에 대한 소식은 다른 기사단 명령이나 남쪽의 귀족들에 의해 잘 받아들이지 않았습니다. 그들은 북한의 자랑스러운 전사들의 마음에 용감한 용서할 수없는 용의 질서가 해체되도록 요구했다. 다른 확립 된 기사성에 대한 경멸과 Rane으로부터 침략자들을 쫓아 내려는 지원의 부족으로 인해 북부 군주들은 남부 군주들과의 관계를 끊고 독립 왕국 인 Ravenstern 왕국을 선언했습니다. 군주, 남아있는 펜 도리아 귀족들은 몇 년 만에 겪은 다음 도전에 맞설 준비가되어 있지 않았습니다. 오아 사르 장군이 이끄는 침공 함대와 펜 도르 기슭에 강력한 군대를 배치했습니다. 그는 도시와 성을 정복하는 내륙을 몰고 멈출 수없는 것처럼 보였다. 아이러니하게도, 캠페인을 시작한 지 불과 몇 개월 만에 장군은 위대한 바쿠스 제국 자체가 내전과 황제 암살되었다는 소식을 전했습니다. 이 충격적인 소식을받은 후, 오아 사르는 야노스의 대 군주로서 여러 펜 도르 군주들의 지원을 받아 자신을 정립하고 바쿠스 제국의 남은 곳에서 공식적으로 탈주했습니다. 위대한 Baccus Empire는 수십 개의 공국, 도시 국가 및 왕국으로 복잡하게 분열되었습니다. 가장 크고 가장 강력한 것은 뱀의 신권의 지배 아래 있습니다. 뱀의 형태로 자신을 드러내는 이름없는 어둠의 여신을 숭배하는 강력하고 겉으로는 신비로운 전사 사제의 종교입니다. 펜 도르는 남부 지방, 도시 및 귀족의 상당 부분이 이제 자신을 대군 주라고 부르는이 신생 장군 아래에서 죽거나 맹세 한 것을 의미했습니다. 북쪽 왕국의 레이븐 스턴과 오아 사르의 침공으로 강력한 사르 레온 공작 알프레드 경은 남은 펜 도르 군주들을 통합하고 자신을 사르 레온 왕으로 선포했습니다. 10 년 동안 어느 정도의 평화가 유지되었습니다. ^^ Pendor의 창립에서-년은 213입니다 ^^ 멀리 북쪽으로, 바다 건너편에 Vanskerry의 왕성한 전사들이 살았습니다. Jarldoms로 분할 된 그들은 공격자와 상인이었습니다. Baccus Empire가 사라짐에 따라 고용 된 Vanskerry 용병 중 다수는 서리가 내린 서부 해안으로 자유롭게 돌아갈 수있었습니다. 반스 케리 (Vanskerry) 지역에있는 현명한 사람의 생각은 '죽음은 적의 칼날에서 발견되어 전사가 할 일이 없을 때 곤경에 빠진다.' 펜 도르 문제의 북쪽에 관한 말이 왔을 때, 그것은 약탈과 약탈의 약속과 약탈로 여성들을 맞이했습니다. 곧 배가 튀어 나와서 펜더 해안은 금과 부로 가득 찬 익은 땅을 발견했습니다. 그들의 무장하고 왕성한 전사들은 해안을 따라 마을과 마을을 습격하기 시작했고 저항이 거의 없었습니다. 사자의 기사단과 Sarleon의 군주는 해안가를 순찰하여 대응했습니다. 그러나 여전히 교활한 Vanskerry의 공격자들은 마을을 마친 후 마을을 약탈했습니다. 자신을 방어 할 수있는 능력이 거의 없었기 때문에, Pendorian 연안 지방의 상인들은 Jarldoms에 대표단을 파견하여 동맹과 보호를 구했습니다. 처음에는 거부 당했지만 제안에 제목과 토지가 포함되면서 많은 Jarls과 huscarls가 듣기 시작했습니다. Vanskerry의 땅은 펜 도르의 울창하고 풍성한 목초지에 비해 견고하고 차갑습니다. 좋은 날씨에 대한 유혹과 성의 제왕이 될 수있는 기회, 심지어 마을의 시장은 많은 항아리에 호소했습니다. 곧 많은 반스 케리 가정은 아버지의 해안을 떠나 펜 도어 해안을 따라 재산과 번영을 찾았습니다. 일부는 펜 도리아 영주를 섬기고 다른 일부는 귀족과 결혼했다. Vanskerry의 전사 문화와 태도가 해안 영주의 고귀한 집으로 옮겨 졌기 때문에 왕국의 많은 것들이 바뀌 었습니다. 세대 내에 문화 격차가 너무 커서 해안 귀족들이 Sarleon 왕으로부터 떨어져 나와 함께 Fierdsvain이라고 불리는 도시 국가와의 동맹을 형성했습니다. 이야기는 상세한 음모, 전쟁 및 영웅적인 행동뿐만 아니라 대지의 악당에 대해 계속됩니다. Jatu 부족의 이야기와 제국과 오아 사르 장군으로부터의 비행에 대한 이야기가 있었는데, Pendor의 동부 초원에서 유목민이되었습니다. 사자의 질서, 펜 도르의 기사단 질서 및 그들의 역사와 그들의 배신에 대한 자세한 설명이 있습니다. 챕터는 자신의 최악의 적이 스스로임을 발견하기 위해 군대와 경제력으로 진화하는 유목민 인 D' Shar에게 헌정되었습니다. 두 명의 모험가의 삶을 변화시킨 고대 Noldor와 그들의 강력한 무기와 마법과의 만남에 대한 언급이 흥미로 웠습니다. 나는 특히 펜 도르의 영주들을 연합시키고 옛 왕국을 재결합 할 영웅의 오심을 예언하는 방황하는 신비 주의자 매디 건의 이야기에 끌렸다. 그의 사가는 나 자신을 영웅으로 만졌고 진실을 말하고 그의 신념 때문에 사형을 선고 받았다.
ip_pendor_present|펜더 : 현재
ip_pendor_present_text|Pendor의 창립에서-올해는 354 년입니다-예언이 깨어났습니다. ^^ 북쪽-까마귀와 신비한 야만인 ^ 북쪽으로 Ravenstern 왕국은 통과 할 수없는 Cloudmist 산맥의 남쪽 경사면에 있습니다. 그들은 혹독한 북부 기후에 적응 한 정성스럽고 자랑스러운 사람들입니다. 레이븐 스턴의 통치자는 그레고리 1 세의 손자 인 그레고리 4 세입니다. 그는 북부 야만인의 주술사를 클라우드 미스트 산맥의 집으로 몰아 넣는 마지막 책임을 이끌었습니다. 그 전투 이후로, 레이븐 스턴은이 피에 굶주린 씨족의 끊임없는 공격과 분류에 의해 테스트되었습니다. 까마귀 군주들은 무시 무시한 전사이지만, 매우 자랑스럽고 매우 개성적입니다. 이 민족들 사이에는 경쟁이 치열한 강력한 문화가 존재하지만 그룹 별로는 훈련이 잘되지 않는 경향이 있습니다. 까마귀 귀족의 크림 용의 기사단은 전투에서 두려워해야합니다. 이 기사단은 대부분의 다른 기사단 명령과 마찬가지로 귀족에 대한 충성을 맹세하지 않고 그 왕국의 영토에 적합 할 때 여행합니다. ^^ 웨스트-Fierdsvain과 Vanskerry의 공격자 ^^ 서부 해안은 Fierdsvain이며, Vanskerry의 Jarls 중 일부는 독특한 전사 문화를 형성하기 위해 옛 왕국과 섞여서 결혼했습니다. 바쿠스 제국 황제를 대신하여 전쟁을 시작한 반스 케리의 전 용병자를 대부분은 냉담한 불모의 해안으로 돌아가는 데 어려움을 겪었습니다. 펜 도르의 해안 영주에서 온 선교사들이 도착했을 때, 많은 사람들이 더 나은 기후에서 자신을 설립 할 기회를 얻었습니다. 그러나 Vanskerry에는이 용병 Jarls를 북쪽의 코드에 대한 턴 코트로 간주하고이 반역자들이 보유한 땅을 약탈하기 위해 맹세 한 많은 사람들이있었습니다. 그럼에도 불구하고, 새로운 피, 강한 전사, 전투와 무역에 대한 욕구가 쏟아져 Fierdsvain은 Sarleon만큼 번성하고 강력 해졌습니다. ^^ Pendor의 재-Sarleon의 왕국 ^^ Sarleon의 왕국은 게임 맵의 중심. 현재 사울 레온의 울리 크 왕은 알프레드 1 세 왕의 전임, 사 레온의 알프레드 공작이었다. Alfred 왕이 Sarleon 왕국을 설립하자 Pendor를 방어하는 기사단 명령의 대부분이 금지되었습니다. 무법자 명령 중 가장 유명한 것은 그리폰 교단, 펜 도르 왕실의 수호자였다. 오늘날에는 오직 하나의 명령 인 사자의 명령이 여전히 Sarleon에 존재합니다. 이 고귀한 명령은 알프레드의 지배 주장을 뒷받침했다. 그 이후로 사자의 명령은 과거가 흐려졌고, 몇 년 동안 그들은 또한 불법이었다. 오늘날 그들은 숭배 받았으며 현재 Sarleon의 Ulric 왕의 은총을 받고 있으며 그 영역의 수호자입니다. ^^ 남부 대초원-D' Shar Nomads ^^ 남쪽은 Shavanir 사막을 따라 D의 공국입니다 '샤 르는 수십 개의 개별 부족으로 이루어져 있습니다. 펜 도르 왕국의 설립이 시작될 때 여러 부족은 펜 도르 왕이 평화 조약을 위해 그들에게 제공 한 평화와 번영을지지했습니다. 평화는 동맹으로 바뀌었고이 부족들은 북왕국과 거래하기 시작했습니다. 그들이 몇 세대에 걸쳐 D' Shar 평원에 설립 한 임시 텐트와 마구간은 작은 마을과 마을이되었습니다. 그들은 더 이상 유 목적이지 않았지만 정착하여 집을 짓고 농작물을 심었습니다. 그들의 번영은이 부족들을 D' Shar 평야에서 두드러지게 발전시켰다. 그러나 옛 방식에 확고하게 묶인 부족들은 유목민으로 남아 '도시 거주자'를 완전히 거부했습니다. 최근에 그들은이 도시로 들어오고 나가는 많은 캐러밴을 타는 것으로 돌아 왔습니다. 이로 인해 도시와 큰 유목민들 사이의 부족 유목민 사이에 많은 긴장이 생겼습니다. ^^ 동남-제국과 뱀 컬트 ^ 대박 토 제국의 펜 도르 내부와 잔존물은 이제 ' 제국'. 그러나 구 바쿠스 공화국의 일부 (수백 년 전 제국)는 오아 사르 장군에게 심오한 영향을 미쳤을 것입니다. 그는 현존 통치자가 죽거나 닿을 때 민주주의 의회가 새로운 '대 군주'를 선출하기로 결정했습니다 육십 세. 제국의 강력한 군대는 오래 전에 북쪽으로 펜 도르의 심장부로 휩쓸고 내부 도시를 정복했지만, 제국이 남해 전역의 고향에서 가지고 있던 관계를 위해 끝없이 고통을 겪었습니다. 뱀 컬트는 제국 지배 계급을 거의 성공적으로 손상 시켰기 때문에 정치적, 경험적으로 제국에 대한 지속적인 위협이었다. 많은 민간인과 귀족들이 최근에 뱀의 길을 공개적으로 지원하는 데 도움이되지 못했습니다. 이 모든 것이 바뀌 었습니다. 현재 황제 마리우스 1 세는 제국 도시의 사제와 성전을 금지하는 데 성공했습니다. 이 외교적 업적은 신권과 제국 사이의 모든 전쟁의 더 많은 결과를 가져 왔으며 제국 도시와 성 주변의 전투는 일반적입니다. 펜 도르의 뱀 숭배자들은 지하로 갔으며, 뱀의 심장이있는 남해를 가로 질러 도움을 받았습니다. 마리우스 1 세는 신권의 식탁을 굳게 돌리고 제국 백성들에게 부정한 타락의 깊이를 보여주었습니다. 뱀의 여사 제의 죽음의 키스를 피하는 것은 일반 시민 이이 작업에서 황제를 도울 수있는 강력한 동기입니다. ^^ 동부-Jatu 부족 ^ 동부 평야를 따라 Pendor의 대초원이 Jatu의 대초원입니다. 원래 Jatu는 광대 한 평원의 땅에서 남해를 가로 질러 살았습니다. 그들은 활과 창에 정통한 치열한 독립 유목민이었습니다. Jatu는 숙련 된 기수이며 어린 나이의 소년은 말을 타고 싸우는 법을 배웁니다. 수년간의 분쟁 끝에, Baccus Empire는 평화를 대가로 Jatu 지도자들과 계약을 맺었습니다. Jatu는 다른 땅을 정복하기 위해 용병을 제국에 제공 할 것입니다. 오아 사르 장군이 펜 도르를 침공했을 때, 기병대에 대한 그의 주요 칭찬은 Jatu Horse Lords였습니다. 그레이트 바쿠스 제국이 엉망이고 황제가 죽었다는 소식이 전 해지자 Jatu의 전쟁 지도자들은 고국으로 돌아갈 수 없었습니다. 대신에 그들은 오아 사르를 섬기고 수십 명의 마을 사람들을 습격했으며 북쪽으로 여행하여 사람들을위한 새로운 고향을 설립했습니다. 무역과 외교 헌법을 거부하는 폐쇄 된 사회 인이 전사들은 자신의 영역에있는 모든 사람을 공격 할 것입니다. ^^ 거의 모든 곳에서 무기를 가진 사람들과 그것을 사용할 의지가 있습니다. ^^ 오래된 바쿠스 제국이 유명했던 더 불건전 한 요소가 출현하기 시작했습니다. 레드 브라더 후드 (Red Brotherhood)는 펜 도르 전역의 국경을 넘어 비밀 사회 연합입니다. 그들은 도적, 도둑, 노예이며, 불건전 한 계획을 다루고 그들이 손에 넣을 수있는 것을 팔고 있습니다. 당신은 때때로 그들을 발견하고, 도움을 줄 것이며, 때로는 당신의 소유물과 아마도 당신의 삶을 구해주게되어 기쁠 것입니다. 마을 민병대와 여러 군주들은 발견 될 때 그들을 없애려고 노력하지만, 여러 도시에서 뿌리 뽑는 것은 막대기로 쥐의 침입을 죽이려는 것과 같습니다. 당신은 그들 모두를 얻는 것 같지 않습니다. Red Brotherhood의 다양한 갱은 서로 독립적으로 작동합니다. ^^ Pendor에는 조심해야 할 많은 위험이 있지만, 가장 위험한 것 중 하나는 시골을 방황하는 다양한 Renegade Knights입니다. 이 기사들은 다양한 기원을 가지고 있으며, 일부는 불법적 인 기사단 명령에서 나 왔으며, 다른 기사는 운반하는 물건의 야생 마법에 의해 뒤틀리고, 일부는 길을 건너는 사람의 파괴에 구부러져 있습니다. 한 가지 확실한 점은 치명적입니다. ^^ 펜 도르 땅에는 많은 종교와 신앙이 있습니다. 그들 대부분은 자비 롭고, 삶과 죽음 사이의 다리 인 교리를 유지하며, 이후에는 즐거운 행동의 길을 열어줍니다. 자비 롭지 않은 몇몇 종교는 파괴와 증오에 구부러져 있습니다. 이 추종자들은 다른 믿음들에 의해 이단이라고 불리며, 각인 될 것으로 여겨진다. 이단자들은 종종 인간 희생과 다른 어두운 의식을 믿는 사람들이며, 가장 맛이 좋지 않습니다. 더 나쁜 것은 최악의 악몽에서 나온 것들을 현실로 가져옵니다. ^^ 여행 중에는 모험가 회사가 있습니다. 이 모험가 그룹은 다양한 배경을 가지고 있으며 다양한 목표를 가지고 있습니다. 일부는 다양한 영주를 위해 임무를 수행하고 있으며, 일부는 현상금 사냥꾼이며, 다른 일부는 오래 전에 파괴 된 고대 도시의 탐험가입니다. 그들이 당신에게 관심을 가질 경우, 가장 비현실적인 장비와 함께 가장 불가능한 장소에서 나타나고 불가능한 일을하는 것은 스스로 스타일의 영웅이기 때문에 무엇이든 준비하십시오. ^^ 극 동쪽, Noldor. ^^ 장로 종족의 마지막으로 남은 흔적은 Noldor입니다. 타이탄의 전쟁은 끔찍했고,이 사람들의 한때 우아한 도시는 오랫동안 파괴되었습니다. 외부인들에게 숨겨진이 곳만이 그들의 문명에 남아 있습니다. Noldor는 한때 놀라운 마술사 였지만, 큰 갈등의 결과 중 하나는 더 이상 그들의 삶의 중심에있는 통조림과 주문을 불러 낼 수 없었습니다. 그럼에도 불구하고, 그들의 작은 마법 중 일부는 전장에서 거의 초자연적 인 능력으로 입증 된 것처럼 여전히 작동하고 있습니다. 집 근처에서 Noldor의 길을 건너는 사람은 아무도 쫓겨나 지 않습니다.
ip_pendor_orders|펜더 : 기사단 명령
